state,government_function,full_time_equivalent_employees,full_time_equivalent_employees_coefficient_of_variation_as_percent,total_march_pay,total_march_pay_coefficient_of_variation_as_percent,full_time_employees,full_time_employees_coefficient_of_variation_as_percent,part_time_employees,part_time_employees_coefficient_of_variation_as_percent,full_time_pay,full_time_pay_coefficient_of_variation_as_percent,part_time_pay,part_time_pay_coefficient_of_variation_as_percent,part_time_hours_march,part_time_hours_march_coefficient_of_variation_as_percent,year
US,total,11480568,0,37775108785,0,10236074,0,3153095,0,34978690979,0,2796417806,0,212718330,0,2002
US,financial administration,213564,0,705405678,0,200734,0,42946,0,672758697,0,32646981,0,2394735,0,2002
US,other government administration,216148,0,738989083,0,190356,0,172918,0,664657293,0,74331790,0,4729944,0,2002
US,judicial and legal,245670,0,892537479,0,233032,0,32505,0,856196587,0,36340892,0,2249869,0,2002
US,police protection - officers,597792,0,2665659949,0,582723,0,36813,0,2624219410,0,41440539,0,2571646,0,2002
US,police protection - other,185024,0,555923646,0,160638,0,64701,0,507045198,0,48878448,0,4253273,0,2002
US,fire protection - firefighters,282084,0,1272228703,0,268238,0,88411,0,1247371470,0,24857233,0,2459712,0,2002
US,fire protection - other,24678,0,94491986,0,22688,0,8293,0,89608443,0,4883543,0,363946,0,2002
US,corrections,241516,0,822439881,0,233645,0,15568,0,804675758,0,17764123,0,1364970,0,2002
US,highways,296977,0,919657836,0,287144,0,25462,0,898806105,0,20851731,0,1773346,0,2002
US,air transportation,40948,0,156850648,0,39469,0,3100,0,153741379,0,3109269,0,261369,0,2002
US,water transport and terminals,7127,0,30936770,0,6788,0,965,0,30093484,0,843286,0,60023,0,2002
US,public welfare,284276,0,872068873,0,259594,0,44571,0,814986968,0,57081905,0,4223463,0,2002
US,health,252326,0,803386365,0,225537,0,59093,0,731755147,0,71631218,0,4635071,0,2002
US,hospitals,507144,0,1686554144,0,435934,0,122535,0,1468437830,0,218116314,0,12273639,0,2002
US,solid waste management,110648,0,341740327,0,103975,0,14401,0,330532499,0,11207828,0,1187459,0,2002
US,sewerage,123938,0,435760386,0,121095,0,9691,0,428909002,0,6851384,0,529428,0,2002
US,parks and recreation,226371,0,581419050,0,159762,0,175851,0,466722261,0,114696789,0,11629246,0,2002
US,housing and community development,117766,0,391071069,0,111546,0,13645,0,377991514,0,13079555,0,1062901,0,2002
US,natural resources,36961,0,115344128,0,33922,0,8880,0,109435296,0,5908832,0,540306,0,2002
US,water transport and terminals,158675,0,547924144,0,154071,0,15233,0,537473614,0,10450530,0,855057,0,2002
US,electric power,72781,0,330779030,0,71305,0,3097,0,326572692,0,4206338,0,261960,0,2002
US,gas supply,10513,0,34052786,0,10360,0,386,0,33666791,0,385995,0,27744,0,2002
US,transit,198890,0,779750006,0,189155,0,15096,0,758475651,0,21274355,0,1682870,0,2002
US,education - elementary and secondary instructional,4400227,0,15446630778,0,4034513,0,905311,0,14561746579,0,884884199,0,61848058,0,2002
US,education - elementary and secondary other,1930852,0,4271432291,0,1565053,0,780659,0,3599316125,0,672116166,0,61258354,0,2002
US,education - higher education instructional,134793,0,598885272,0,85913,0,175643,0,415543296,0,183341976,0,8423980,0,2002
US,education - higher education other,185661,0,526859050,0,133825,0,154941,0,432874515,0,93984535,0,8954148,0,2002
US,libraries,124462,0,319798759,0,86315,0,91089,0,249862827,0,69935932,0,6590469,0,2002
US,other and unallocable,252756,0,836530668,0,228744,0,71291,0,785214548,0,51316120,0,4251344,0,2002
AL,total,180805,0,461638754,0,169910,0,26815,0,439392927,0,22245827,0,1878302,0,2002
AL,financial administration,3927,0,10230313,0,3807,0,269,0,10019475,0,210838,0,20464,0,2002
AL,other government administration,2390,0,6827827,0,2059,0,2272,0,5811184,0,1016643,0,60789,0,2002
AL,judicial and legal,1593,0,4353972,0,1425,0,532,0,3855769,0,498203,0,31371,0,2002
AL,police protection - officers,9049,0,27921949,0,8917,0,340,0,27703450,0,218499,0,24038,0,2002
AL,police protection - other,2621,0,5530183,0,2331,0,732,0,5074471,0,455712,0,51166,0,2002
AL,fire protection - firefighters,4878,0,15411983,0,4636,0,791,0,15044645,0,367338,0,42922,0,2002
AL,fire protection - other,220,0,621904,0,215,0,6,0,615259,0,6645,0,758,0,2002
AL,corrections,2980,0,7246863,0,2844,0,250,0,7026231,0,220632,0,23452,0,2002
AL,highways,7216,0,16313904,0,7032,0,303,0,16063779,0,250125,0,31848,0,2002
AL,air transportation,405,0,1026961,0,382,0,43,0,988295,0,38666,0,3998,0,2002
AL,water transport and terminals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002
AL,public welfare,1519,0,2640516,0,1279,0,432,0,2333087,0,307429,0,41602,0,2002
AL,health,4559,0,10652839,0,4206,0,901,0,10053092,0,599747,0,62001,0,2002
AL,hospitals,22944,0,66234428,0,19596,0,5819,0,56391311,0,9843117,0,581438,0,2002
AL,solid waste management,3790,0,8302672,0,3683,0,182,0,8164207,0,138465,0,19051,0,2002
AL,sewerage,1550,0,4233064,0,1530,0,56,0,4193609,0,39455,0,3832,0,2002
AL,parks and recreation,3429,0,6840696,0,2624,0,1716,0,5800327,0,1040369,0,141750,0,2002
AL,housing and community development,2500,0,6725999,0,2361,0,259,0,6472310,0,253689,0,23667,0,2002
AL,natural resources,316,0,708353,0,286,0,48,0,668777,0,39576,0,4310,0,2002
AL,water transport and terminals,3546,0,9489970,0,3424,0,347,0,9284562,0,205408,0,20655,0,2002
AL,electric power,1232,0,4209503,0,1199,0,60,0,4147906,0,61597,0,6095,0,2002
AL,gas supply,922,0,2662908,0,912,0,33,0,2648229,0,14679,0,1980,0,2002
AL,transit,209,0,397621,0,182,0,53,0,357586,0,40035,0,4553,0,2002
AL,education - elementary and secondary instructional,65076,0,186331763,0,63028,0,5852,0,182982096,0,3349667,0,340293,0,2002
AL,education - elementary and secondary other,28601,0,43542461,0,27251,0,4339,0,41441502,0,2100959,0,226557,0,2002
AL,education - higher education instructional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002
AL,education - higher education other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002
AL,libraries,1134,0,2519840,0,854,0,594,0,2099381,0,420459,0,48173,0,2002
AL,other and unallocable,4199,0,10660262,0,3847,0,586,0,10152387,0,507875,0,61539,0,2002
AK,total,25965,0,96756433,0,23058,0,8900,0,89147112,0,7609321,0,503550,0,2002
AK,financial administration,759,0,2972544,0,725,0,75,0,2878837,0,93707,0,5485,0,2002
AK,other government administration,817,0,3367044,0,701,0,608,0,2955411,0,411633,0,21356,0,2002
AK,judicial and legal,99,0,510746,0,98,0,6,0,502015,0,8731,0,456,0,2002
AK,police protection - officers,772,0,3949673,0,738,0,60,0,3884986,0,64687,0,5756,0,2002
AK,police protection - other,433,0,1742780,0,414,0,73,0,1697367,0,45413,0,4152,0,2002
