state,government_function,full_time_equivalent_employees,full_time_equivalent_employees_coefficient_of_variation_as_percent,total_march_pay,total_march_pay_coefficient_of_variation_as_percent,full_time_employees,full_time_employees_coefficient_of_variation_as_percent,part_time_employees,part_time_employees_coefficient_of_variation_as_percent,full_time_pay,full_time_pay_coefficient_of_variation_as_percent,part_time_pay,part_time_pay_coefficient_of_variation_as_percent,part_time_hours_march,part_time_hours_march_coefficient_of_variation_as_percent,year
AK,fire protection - firefighters,601,0,3258059,0,557,0,294,0,3189104,0,68955,0,7460,0,2002
AK,fire protection - other,97,0,466967,0,89,0,20,0,450042,0,16925,0,1417,0,2002
AK,corrections,64,0,236559,0,60,0,9,0,222600,0,13959,0,715,0,2002
AK,highways,741,0,3332944,0,698,0,128,0,3219988,0,112956,0,7357,0,2002
AK,air transportation,88,0,287597,0,85,0,6,0,282598,0,4999,0,340,0,2002
AK,water transport and terminals,134,0,539956,0,131,0,9,0,532254,0,7702,0,522,0,2002
AK,public welfare,192,0,644661,0,164,0,45,0,575976,0,68685,0,4784,0,2002
AK,health,398,0,1523150,0,351,0,210,0,1395184,0,127966,0,8077,0,2002
AK,hospitals,621,0,2729770,0,504,0,277,0,2291889,0,437881,0,20343,0,2002
AK,solid waste management,273,0,1006247,0,244,0,73,0,930082,0,76165,0,5060,0,2002
AK,sewerage,427,0,1713006,0,403,0,56,0,1661934,0,51072,0,3785,0,2002
AK,parks and recreation,572,0,1528489,0,306,0,635,0,1048273,0,480216,0,46230,0,2002
AK,housing and community development,569,0,2213203,0,442,0,214,0,1722824,0,490379,0,21571,0,2002
AK,natural resources,14,0,59462,0,12,0,4,0,52749,0,6713,0,374,0,2002
AK,water transport and terminals,266,0,1054081,0,229,0,102,0,974456,0,79625,0,6017,0,2002
AK,electric power,446,0,2301703,0,415,0,80,0,2228397,0,73306,0,4919,0,2002
AK,gas supply,0,0,2583,0,0,0,4,0,0,0,2583,0,171,0,2002
AK,transit,240,0,863022,0,217,0,35,0,794571,0,68451,0,3837,0,2002
AK,education - elementary and secondary instructional,10129,0,38891642,0,9291,0,2226,0,36482972,0,2408670,0,144721,0,2002
AK,education - elementary and secondary other,5965,0,16880155,0,5190,0,2951,0,15098520,0,1781635,0,134788,0,2002
AK,education - higher education instructional,23,0,139057,0,18,0,12,0,113596,0,25461,0,766,0,2002
AK,education - higher education other,98,0,398008,0,80,0,69,0,359173,0,38835,0,2947,0,2002
AK,libraries,307,0,958551,0,210,0,212,0,731572,0,226979,0,17259,0,2002
AK,other and unallocable,820,0,3184774,0,686,0,407,0,2869742,0,315032,0,22885,0,2002
AZ,total,193752,0,607207258,0,171653,0,52197,0,561977317,0,45229941,0,3847584,0,2002
AZ,financial administration,3953,0,13631292,0,3844,0,204,0,13334828,0,296464,0,18931,0,2002
AZ,other government administration,5340,0,20901035,0,5080,0,687,0,20206897,0,694138,0,45803,0,2002
AZ,judicial and legal,7887,0,26829463,0,7642,0,547,0,26049880,0,779583,0,43277,0,2002
AZ,police protection - officers,11658,0,49530776,0,11635,0,62,0,49459008,0,71768,0,4122,0,2002
AZ,police protection - other,3651,0,12250053,0,3456,0,333,0,11809948,0,440105,0,33484,0,2002
AZ,fire protection - firefighters,4810,0,21900201,0,4612,0,1145,0,21584987,0,315214,0,34300,0,2002
AZ,fire protection - other,878,0,3757282,0,800,0,264,0,3574211,0,183071,0,13917,0,2002
AZ,corrections,5004,0,14237588,0,4885,0,285,0,13943528,0,294060,0,20715,0,2002
AZ,highways,4464,0,14607276,0,4379,0,147,0,14415318,0,191958,0,14929,0,2002
AZ,air transportation,1133,0,4067386,0,1080,0,149,0,3896306,0,171080,0,9060,0,2002
AZ,water transport and terminals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002
AZ,public welfare,1984,0,5537887,0,1488,0,845,0,4526772,0,1011115,0,86937,0,2002
AZ,health,2440,0,6726925,0,2243,0,384,0,6224365,0,502560,0,34667,0,2002
AZ,hospitals,3974,0,10499332,0,3763,0,301,0,9841387,0,657945,0,37271,0,2002
AZ,solid waste management,2132,0,6994841,0,2092,0,59,0,6911590,0,83251,0,7041,0,2002
AZ,sewerage,1259,0,4207699,0,1239,0,38,0,4165693,0,42006,0,3298,0,2002
AZ,parks and recreation,4788,0,12770308,0,3326,0,3559,0,10278859,0,2491449,0,256921,0,2002
AZ,housing and community development,1142,0,3635265,0,1029,0,202,0,3449483,0,185782,0,19739,0,2002
AZ,natural resources,999,0,3606943,0,978,0,54,0,3544860,0,62083,0,3991,0,2002
AZ,water transport and terminals,3239,0,12269862,0,3194,0,80,0,12179630,0,90232,0,7756,0,2002
AZ,electric power,4164,0,23224328,0,4040,0,279,0,22766408,0,457920,0,21683,0,2002
AZ,gas supply,22,0,49952,0,14,0,20,0,36502,0,13450,0,1346,0,2002
AZ,transit,228,0,854157,0,197,0,63,0,769789,0,84368,0,5593,0,2002
AZ,education - elementary and secondary instructional,67514,0,208780521,0,61384,0,13156,0,195561842,0,13218679,0,1068824,0,2002
AZ,education - elementary and secondary other,34464,0,74966819,0,27627,0,15934,0,62636032,0,12330787,0,1187473,0,2002
AZ,education - higher education instructional,3897,0,15504083,0,2209,0,6437,0,9981512,0,5522571,0,291878,0,2002
AZ,education - higher education other,7420,0,19728687,0,4794,0,5520,0,16036823,0,3691864,0,453906,0,2002
AZ,libraries,1800,0,5025120,0,1257,0,1141,0,3964180,0,1060940,0,95875,0,2002
AZ,other and unallocable,3508,0,11112177,0,3366,0,302,0,10826679,0,285498,0,24847,0,2002
AR,total,97557,0,222464371,0,91457,0,21577,0,212248039,0,10216332,0,1057291,0,2002
AR,financial administration,2010,0,4308236,0,1928,0,260,0,4156516,0,151720,0,16075,0,2002
AR,other government administration,1962,0,4415979,0,1654,0,3041,0,3550171,0,865808,0,60366,0,2002
AR,judicial and legal,1554,0,3240391,0,1354,0,572,0,2859817,0,380574,0,36512,0,2002
AR,police protection - officers,5176,0,13629835,0,5043,0,429,0,13419087,0,210748,0,23800,0,2002
AR,police protection - other,1322,0,2411121,0,1246,0,268,0,2290332,0,120789,0,13889,0,2002
AR,fire protection - firefighters,2380,0,7294962,0,2224,0,1979,0,7063621,0,231341,0,27610,0,2002
AR,fire protection - other,71,0,143035,0,60,0,46,0,127782,0,15253,0,2052,0,2002
AR,corrections,1855,0,3471409,0,1798,0,146,0,3394360,0,77049,0,9557,0,2002
AR,highways,3752,0,7401829,0,3614,0,326,0,7190923,0,210906,0,25777,0,2002
AR,air transportation,252,0,533571,0,241,0,29,0,516195,0,17376,0,2057,0,2002
AR,water transport and terminals,9,0,34102,0,9,0,0,0,34102,0,0,0,0,0,2002
AR,public welfare,116,0,205287,0,98,0,48,0,177286,0,28001,0,3383,0,2002
AR,health,274,0,588082,0,252,0,104,0,547917,0,40165,0,4093,0,2002
AR,hospitals,2402,0,5720378,0,2064,0,742,0,4611031,0,1109347,0,59462,0,2002
AR,solid waste management,1511,0,2929120,0,1410,0,222,0,2785451,0,143669,0,17759,0,2002
AR,sewerage,1103,0,2886788,0,1079,0,78,0,2846734,0,40054,0,4692,0,2002
AR,parks and recreation,967,0,1890417,0,767,0,470,0,1613574,0,276843,0,35498,0,2002
AR,housing and community development,986,0,2004456,0,893,0,209,0,1863122,0,141334,0,16125,0,2002
AR,natural resources,196,0,360716,0,163,0,136,0,301179,0,59537,0,6047,0,2002
AR,water transport and terminals,1923,0,4747848,0,1829,0,241,0,4581631,0,166217,0,16696,0,2002
AR,electric power,399,0,1288177,0,395,0,12,0,1279882,0,8295,0,750,0,2002
AR,gas supply,4,0,4597,0,4,0,0,0,4597,0,0,0,0,0,2002
AR,transit,228,0,571468,0,211,0,32,0,546609,0,24859,0,3059,0,2002
AR,education - elementary and secondary instructional,43811,0,116720100,0,42278,0,5449,0,114196190,0,2523910,0,257967,0,2002
AR,education - elementary and secondary other,21205,0,31581118,0,19077,0,5881,0,28639276,0,2941842,0,357631,0,2002
AR,education - higher education instructional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002
AR,education - higher education other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002
AR,libraries,754,0,1356620,0,587,0,449,0,1133925,0,222695,0,29487,0,2002
AR,other and unallocable,1335,0,2724729,0,1179,0,408,0,2516729,0,208000,0,26947,0,2002
CA,total,1399207,0,5804492320,0,1193492,0,497945,0,5238872174,0,565620146,0,35338721,0,2002
CA,financial administration,24383,0,107606610,0,23529,0,1600,0,105048050,0,2558560,0,150266,0,2002
CA,other government administration,25982,0,119955586,0,23688,0,5044,0,113624171,0,6331415,0,402332,0,2002
CA,judicial and legal,50964,0,247813594,0,49363,0,2599,0,242407240,0,5406354,0,280293,0,2002
CA,police protection - officers,59183,0,363771078,0,58633,0,1740,0,361681436,0,2089642,0,96942,0,2002
CA,police protection - other,27697,0,110072877,0,25117,0,5449,0,104099331,0,5973546,0,453238,0,2002
CA,fire protection - firefighters,28818,0,199551854,0,27946,0,4204,0,197792787,0,1759067,0,154544,0,2002
CA,fire protection - other,3238,0,15147565,0,3038,0,637,0,14562351,0,585214,0,35733,0,2002
CA,corrections,32345,0,141138083,0,30890,0,2565,0,136660601,0,4477482,0,255841,0,2002
CA,highways,21736,0,93736702,0,20949,0,1341,0,91592174,0,2144528,0,136948,0,2002
CA,air transportation,6241,0,30486608,0,6095,0,294,0,30099766,0,386842,0,25679,0,2002
CA,water transport and terminals,2020,0,10798195,0,1970,0,125,0,10653132,0,145063,0,8760,0,2002
CA,public welfare,66721,0,239596556,0,64777,0,3540,0,234221431,0,5375125,0,339964,0,2002
CA,health,43771,0,184913304,0,40642,0,5853,0,173351038,0,11562266,0,548246,0,2002
CA,hospitals,60307,0,251485056,0,51374,0,14338,0,216868287,0,34616769,0,1551132,0,2002
CA,solid waste management,7389,0,29442581,0,7125,0,438,0,28717683,0,724898,0,46370,0,2002
CA,sewerage,13035,0,62599051,0,12719,0,775,0,61653794,0,945257,0,57640,0,2002
CA,parks and recreation,35147,0,102962037,0,23666,0,26350,0,80786805,0,22175232,0,2017067,0,2002
CA,housing and community development,13276,0,54250694,0,12493,0,1479,0,52263298,0,1987396,0,135623,0,2002
CA,natural resources,8146,0,32581551,0,7726,0,962,0,31611648,0,969903,0,74880,0,2002
CA,water transport and terminals,21963,0,108759580,0,21449,0,1379,0,107269724,0,1489856,0,91548,0,2002
CA,electric power,10610,0,61443085,0,10315,0,545,0,60482421,0,960664,0,52182,0,2002
CA,gas supply,270,0,1227316,0,267,0,4,0,1214408,0,12908,0,602,0,2002
CA,transit,34307,0,131750716,0,32640,0,2385,0,127931831,0,3818885,0,292829,0,2002
CA,education - elementary and secondary instructional,436349,0,1944180268,0,365926,0,169414,0,1731297791,0,212882477,0,11985049,0,2002
CA,education - elementary and secondary other,232889,0,616203332,0,173733,0,131027,0,489441221,0,126762111,0,10012380,0,2002
CA,education - higher education instructional,37225,0,189807491,0,24099,0,46982,0,128786615,0,61020876,0,2300342,0,2002
CA,education - higher education other,41217,0,137550625,0,27090,0,49880,0,108077296,0,29473329,0,2472487,0,2002
CA,libraries,12640,0,40665263,0,8311,0,10395,0,30782896,0,9882367,0,759846,0,2002
CA,other and unallocable,41338,0,174995062,0,37922,0,6601,0,165892948,0,9102114,0,599958,0,2002
CO,total,175066,0,562354202,0,154990,0,47702,0,519858875,0,42495327,0,3386938,0,2002
CO,financial administration,3821,0,15621340,0,3691,0,278,0,15280458,0,340882,0,23144,0,2002
CO,other government administration,4431,0,15769166,0,4136,0,1380,0,14869976,0,899190,0,54202,0,2002
CO,judicial and legal,2308,0,9784376,0,2176,0,386,0,9228063,0,556313,0,24386,0,2002
CO,police protection - officers,8549,0,40472056,0,8509,0,122,0,40360929,0,111127,0,7402,0,2002
CO,police protection - other,3064,0,9866685,0,2911,0,375,0,9501407,0,365278,0,26967,0,2002
CO,fire protection - firefighters,4172,0,20060613,0,4102,0,606,0,19935292,0,125321,0,13005,0,2002
CO,fire protection - other,493,0,1813657,0,456,0,227,0,1712864,0,100793,0,7295,0,2002
CO,corrections,3382,0,11703865,0,3329,0,112,0,11544628,0,159237,0,9417,0,2002
CO,highways,6142,0,20906450,0,5969,0,371,0,20547135,0,359315,0,29913,0,2002
CO,air transportation,1279,0,5368243,0,1203,0,125,0,5218800,0,149443,0,13176,0,2002
CO,water transport and terminals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002
CO,public welfare,5692,0,17418050,0,5403,0,589,0,16708983,0,709067,0,51391,0,2002
CO,health,3908,0,13493689,0,3197,0,1563,0,11456913,0,2036776,0,124720,0,2002
CO,hospitals,7262,0,21990022,0,6111,0,2074,0,18542771,0,3447251,0,199496,0,2002
CO,solid waste management,625,0,1943330,0,580,0,96,0,1857071,0,86259,0,8303,0,2002
CO,sewerage,2373,0,8308174,0,2322,0,299,0,8136407,0,171767,0,10606,0,2002
CO,parks and recreation,6252,0,18090047,0,4007,0,7048,0,14156341,0,3933706,0,394741,0,2002
CO,housing and community development,1796,0,6293748,0,1616,0,368,0,5885006,0,408742,0,31821,0,2002
CO,natural resources,768,0,2504456,0,669,0,293,0,2283979,0,220477,0,19179,0,2002
CO,water transport and terminals,4016,0,15681883,0,3912,0,505,0,15349449,0,332434,0,20205,0,2002
CO,electric power,1445,0,7364742,0,1423,0,49,0,7276103,0,88639,0,4133,0,2002
CO,gas supply,278,0,1198024,0,278,0,2,0,1197630,0,394,0,27,0,2002
CO,transit,3273,0,11007131,0,3019,0,435,0,10343022,0,664109,0,44695,0,2002
CO,education - elementary and secondary instructional,62098,0,197555153,0,56197,0,14239,0,186074369,0,11480784,0,977311,0,2002
CO,education - elementary and secondary other,28913,0,61793106,0,22714,0,11256,0,49807684,0,11985422,0,996280,0,2002
CO,education - higher education instructional,599,0,2211115,0,405,0,1092,0,1496143,0,714972,0,34250,0,2002
CO,education - higher education other,1013,0,2826629,0,745,0,986,0,2403866,0,422763,0,47020,0,2002
CO,libraries,2658,0,7192980,0,1751,0,1970,0,5262933,0,1930047,0,159024,0,2002
CO,other and unallocable,4456,0,14115472,0,4159,0,856,0,13420653,0,694819,0,54829,0,2002
CT,total,114734,0,434100606,0,103470,0,27775,0,409125088,0,24975518,0,1869222,0,2002
CT,financial administration,2380,0,8413924,0,2193,0,543,0,7854658,0,559266,0,32170,0,2002
CT,other government administration,2228,0,8103652,0,1993,0,806,0,7415075,0,688577,0,40601,0,2002
CT,judicial and legal,187,0,826258,0,171,0,35,0,775710,0,50548,0,2699,0,2002
CT,police protection - officers,6811,0,34573117,0,6711,0,342,0,34325063,0,248054,0,17088,0,2002
CT,police protection - other,1657,0,4940829,0,1388,0,875,0,4386022,0,554807,0,47178,0,2002
CT,fire protection - firefighters,4382,0,20733615,0,4293,0,357,0,20505474,0,228141,0,16044,0,2002
CT,fire protection - other,346,0,1294705,0,303,0,152,0,1166667,0,128038,0,8540,0,2002
CT,corrections,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002
CT,highways,3616,0,13178188,0,3515,0,236,0,12967377,0,210811,0,17772,0,2002
CT,air transportation,37,0,122130,0,37,0,0,0,122130,0,0,0,0,0,2002
CT,water transport and terminals,2,0,10120,0,2,0,1,0,9429,0,691,0,86,0,2002
CT,public welfare,1810,0,5150096,0,1379,0,939,0,4223654,0,926442,0,73000,0,2002
CT,health,1724,0,5991851,0,1520,0,497,0,5370269,0,621582,0,36116,0,2002
CT,hospitals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002
CT,solid waste management,799,0,2503014,0,732,0,172,0,2379248,0,123766,0,11033,0,2002
CT,sewerage,987,0,4098991,0,973,0,35,0,4063574,0,35417,0,2501,0,2002
CT,parks and recreation,2240,0,6459907,0,1575,0,2206,0,5291271,0,1168636,0,112691,0,2002
CT,housing and community development,1553,0,5186887,0,1416,0,321,0,4921612,0,265275,0,21509,0,2002
CT,natural resources,61,0,178382,0,58,0,12,0,170125,0,8257,0,664,0,2002
CT,water transport and terminals,1046,0,4374670,0,1036,0,25,0,4344008,0,30662,0,1901,0,2002
CT,electric power,204,0,1005981,0,201,0,7,0,994527,0,11454,0,652,0,2002
CT,gas supply,34,0,165773,0,34,0,0,0,165773,0,0,0,0,0,2002
CT,transit,545,0,1709809,0,486,0,105,0,1589613,0,120196,0,9774,0,2002
CT,education - elementary and secondary instructional,59228,0,247179384,0,54923,0,9388,0,236532081,0,10647303,0,705721,0,2002
CT,education - elementary and secondary other,19122,0,46232673,0,15671,0,8255,0,39749142,0,6483531,0,561996,0,2002
CT,education - higher education instructional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002
CT,education - higher education other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002
CT,libraries,1626,0,4586901,0,1095,0,1480,0,3513092,0,1073809,0,91116,0,2002
CT,other and unallocable,2109,0,7079749,0,1765,0,986,0,6289494,0,790255,0,58370,0,2002
DE,total,21775,0,72237688,0,20133,0,4248,0,69026010,0,3211678,0,282295,0,2002
DE,financial administration,504,0,1579439,0,489,0,31,0,1549377,0,30062,0,2524,0,2002
DE,other government administration,586,0,1963342,0,535,0,173,0,1828605,0,134737,0,9398,0,2002
DE,judicial and legal,111,0,384128,0,106,0,13,0,366768,0,17360,0,844,0,2002
DE,police protection - officers,1160,0,4676939,0,1155,0,13,0,4665632,0,11307,0,1014,0,2002
DE,police protection - other,417,0,995531,0,303,0,229,0,760983,0,234548,0,19953,0,2002
DE,fire protection - firefighters,202,0,944914,0,201,0,1,0,943681,0,1233,0,171,0,2002
DE,fire protection - other,12,0,37281,0,11,0,3,0,35428,0,1853,0,164,0,2002
DE,corrections,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002
DE,highways,552,0,1749602,0,528,0,65,0,1707227,0,42375,0,4235,0,2002
DE,air transportation,48,0,144767,0,45,0,7,0,137813,0,6954,0,596,0,2002
DE,water transport and terminals,232,0,738864,0,198,0,114,0,677209,0,61655,0,6064,0,2002
DE,public welfare,14,0,24027,0,3,0,18,0,7318,0,16709,0,1814,0,2002
DE,health,246,0,901983,0,243,0,5,0,896121,0,5862,0,418,0,2002
DE,hospitals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002
DE,solid waste management,155,0,269682,0,145,0,12,0,255501,0,14181,0,1445,0,2002
DE,sewerage,449,0,1200259,0,446,0,5,0,1193588,0,6671,0,611,0,2002
DE,parks and recreation,315,0,753173,0,259,0,123,0,650400,0,102773,0,9705,0,2002
DE,housing and community development,255,0,831212,0,244,0,16,0,797738,0,33474,0,1765,0,2002
DE,natural resources,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002
DE,water transport and terminals,193,0,467487,0,190,0,5,0,464268,0,3219,0,355,0,2002
DE,electric power,152,0,529539,0,152,0,3,0,527784,0,1755,0,59,0,2002
DE,gas supply,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002
DE,transit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002
DE,education - elementary and secondary instructional,10693,0,40277643,0,10162,0,1681,0,38956163,0,1321480,0,89977,0,2002
DE,education - elementary and secondary other,4709,0,11837773,0,4055,0,1493,0,10846874,0,990899,0,113244,0,2002
DE,education - higher education instructional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002
DE,education - higher education other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002
DE,libraries,232,0,526136,0,157,0,189,0,410172,0,115964,0,12384,0,2002
DE,other and unallocable,538,0,1403967,0,506,0,49,0,1347360,0,56607,0,5555,0,2002
DC,total,44935,0,190598480,0,42090,0,4318,0,182303065,0,8295415,0,500369,0,2002
DC,financial administration,1055,0,4738474,0,994,0,122,0,4499734,0,238740,0,10804,0,2002
DC,other government administration,848,0,3948684,0,841,0,13,0,3916887,0,31797,0,1151,0,2002
DC,judicial and legal,1345,0,6889337,0,1339,0,14,0,6818863,0,70474,0,1080,0,2002
DC,police protection - officers,3561,0,18388707,0,3560,0,1,0,18386338,0,2369,0,89,0,2002
DC,police protection - other,756,0,2863359,0,683,0,145,0,2728252,0,135107,0,12841,0,2002
DC,fire protection - firefighters,1264,0,5818802,0,1264,0,0,0,5818802,0,0,0,0,0,2002
DC,fire protection - other,490,0,2253400,0,490,0,0,0,2253400,0,0,0,0,0,2002
DC,corrections,1576,0,5839257,0,1576,0,0,0,5839257,0,0,0,0,0,2002
DC,highways,371,0,1344622,0,371,0,0,0,1344622,0,0,0,0,0,2002
DC,public welfare,1368,0,5442441,0,1367,0,1,0,5440473,0,1968,0,89,0,2002
DC,health,1703,0,8474702,0,1634,0,137,0,8015687,0,459015,0,12133,0,2002
DC,hospitals,1952,0,9190763,0,1932,0,61,0,8911301,0,279462,0,3454,0,2002
DC,solid waste management,563,0,1593553,0,563,0,0,0,1593553,0,0,0,0,0,2002
DC,sewerage,533,0,3024798,0,533,0,0,0,3024798,0,0,0,0,0,2002
DC,parks and recreation,904,0,2710873,0,779,0,220,0,2259932,0,450941,0,22001,0,2002
DC,housing and community development,1008,0,3752199,0,1007,0,3,0,3749757,0,2442,0,89,0,2002
