state,government_function,full_time_employees,full_time_employees_coefficient_of_variation_as_percent,full_time_pay,full_time_pay_coefficient_of_variation_as_percent,part_time_employees,part_time_employees_coefficient_of_variation_as_percent,part_time_pay,part_time_pay_coefficient_of_variation_as_percent,part_time_hours,part_time_hours_coefficient_of_variation_as_percent,full_time_equivalent_employees,full_time_equivalent_employees_coefficient_of_variation_as_percent,total_employees,total_employees_coefficient_of_variation_as_percent,total_march_pay,total_march_pay_coefficient_of_variation_as_percent,full_time_equivalent_employees_response_rate_as_percent,total_march_pay_response_rate_as_percent,year
AL,air transportation,424,0,1161711,0,56,0,42053,0,4147,0,447,0,480,0,1203764,0,74.93,53.39,2007
AL,public welfare,1090,0,2277033,0,422,0,324110,0,34621,0,1292,0,1512,0,2601143,0,87.06,91.26,2007
AL,health,5067,0,13385464,0,1110,0,899634,0,81277,0,5526,0,6177,0,14285098,0,94.12,94.61,2007
AL,hospitals,22367,0,74167667,0,7242,0,11813574,0,675960,0,26190,0,29609,0,85981241,0,95.48,93.11,2007
AL,solid waste management,3867,0,9531169,0,139,0,135260,0,13730,0,3944,0,4006,0,9666429,0,66.78,65.49,2007
AL,sewerage,1574,0,5189624,0,52,0,52072,0,4430,0,1597,0,1626,0,5241696,0,94.61,93.01,2007
AL,parks and recreation,2929,0,7995115,0,1914,0,1271913,0,146863,0,3759,0,4843,0,9267028,0,83.82,81.22,2007
AL,housing and community development,2071,0,6276032,0,195,0,174549,0,14990,0,2156,0,2266,0,6450581,0,94.94,95.25,2007
AL,natural resources,233,0,632021,0,78,0,76425,0,6425,0,270,0,311,0,708446,0,78.73,75.34,2007
AL,water transport and terminals,3746,0,12076964,0,336,0,256836,0,21966,0,3867,0,4082,0,12333800,0,82,70.42,2007
AL,electric power,1160,0,4617953,0,47,0,80603,0,5165,0,1189,0,1207,0,4698556,0,96.88,96.95,2007
AL,gas supply,907,0,2918383,0,36,0,33163,0,2770,0,922,0,943,0,2951546,0,95.15,78.81,2007
AL,transit,495,0,1259159,0,84,0,84517,0,7864,0,539,0,579,0,1343676,0,97.32,100,2007
AL,education total,99767,0,291206458,0,10600,0,5615850,0,497926,0,102767,0,110367,0,296822308,0,87.05,87.65,2007
AL,education - elementary and secondary total,99767,0,291206458,0,10600,0,5615850,0,497926,0,102767,0,110367,0,296822308,0,87.05,87.65,2007
AL,education - elementary and secondary instructional,69198,0,235638246,0,6957,0,3641737,0,282936,0,70899,0,76155,0,239279983,0,87.05,87.65,2007
AL,education - elementary and secondary other,30569,0,55568212,0,3643,0,1974113,0,214990,0,31868,0,34212,0,57542325,0,81.32,78.41,2007
AL,libraries,1055,0,2834366,0,515,0,402241,0,42425,0,1295,0,1570,0,3236607,0,64.06,67.81,2007
AL,other and unallocable,4120,0,12224086,0,637,0,625843,0,62426,0,4475,0,4757,0,12849929,0,83.13,88.49,2007
AK,total,23630,0,104970466,0,8656,0,8195808,0,496418,0,26520,0,32286,0,113166274,0,80.24,77.23,2007
AK,financial administration,885,0,4352180,0,73,0,84170,0,4599,0,908,0,958,0,4436350,0,68.12,63.5,2007
AK,other government administration,749,0,3373768,0,586,0,328782,0,18270,0,855,0,1335,0,3702550,0,71.08,70.5,2007
AK,judicial and legal,94,0,579608,0,9,0,23849,0,811,0,100,0,103,0,603457,0,42.25,46.42,2007
AK,police protection total,1241,0,6625206,0,84,0,90951,0,6981,0,1280,0,1325,0,6716157,0,52.49,46.38,2007
AK,police protection - officers,808,0,4755326,0,46,0,53040,0,3949,0,830,0,854,0,4808366,0,50.24,43.61,2007
AK,police protection - other,433,0,1869880,0,38,0,37911,0,3032,0,450,0,471,0,1907791,0,56.65,53.38,2007
AK,fire protection total,688,0,4767046,0,459,0,142981,0,12883,0,760,0,1147,0,4910027,0,44.04,36.14,2007
AK,fire protection - firefighters,593,0,4194878,0,442,0,127441,0,11855,0,659,0,1035,0,4322319,0,44.94,37.05,2007
AK,fire protection - other,95,0,572168,0,17,0,15540,0,1028,0,101,0,112,0,587708,0,38.16,29.46,2007
AK,corrections,66,0,258566,0,4,0,7195,0,310,0,68,0,70,0,265761,0,89.67,92.88,2007
AK,highways,547,0,2833415,0,116,0,121606,0,5512,0,579,0,663,0,2955021,0,63.21,58.62,2007
AK,air transportation,64,0,330959,0,1,0,103,0,5,0,64,0,65,0,331062,0,84.38,83.68,2007
AK,water transport and terminals,159,0,715140,0,30,0,51792,0,3436,0,177,0,189,0,766932,0,75.85,76.77,2007
AK,public welfare,187,0,784925,0,25,0,34971,0,2397,0,202,0,212,0,819896,0,47.84,48.97,2007
AK,health,283,0,1291608,0,288,0,198772,0,13683,0,361,0,571,0,1490380,0,57.8,65.21,2007
AK,hospitals,553,0,2677208,0,217,0,505814,0,20091,0,668,0,770,0,3183022,0,100,89.07,2007
AK,solid waste management,255,0,1151548,0,69,0,70173,0,4293,0,277,0,324,0,1221721,0,62.81,55.51,2007
AK,sewerage,360,0,1946766,0,36,0,36827,0,2563,0,377,0,396,0,1983593,0,45.35,40.36,2007
AK,parks and recreation,351,0,1347358,0,621,0,527194,0,41630,0,590,0,972,0,1874552,0,70.83,66.88,2007
AK,housing and community development,476,0,1927719,0,296,0,486732,0,22038,0,602,0,772,0,2414451,0,73.73,86.6,2007
AK,natural resources,17,0,102992,0,8,0,15301,0,810,0,22,0,25,0,118293,0,100,100,2007
AK,water transport and terminals,237,0,1255472,0,93,0,105353,0,6674,0,277,0,330,0,1360825,0,42.98,40.42,2007
AK,electric power,445,0,2690401,0,80,0,101404,0,4450,0,474,0,525,0,2791805,0,42.83,38.59,2007
AK,gas supply,0,0,0,0,1,0,736,0,48,0,0,0,1,0,736,0,0,0,2007
AK,transit,213,0,1070409,0,47,0,141735,0,5983,0,247,0,260,0,1212144,0,36.32,32.97,2007
AK,education total,14796,0,60542415,0,4995,0,4584471,0,283904,0,16466,0,19791,0,65126886,0,92.3,92.7,2007
AK,education - elementary and secondary total,14702,0,60036382,0,4924,0,4487238,0,279864,0,16348,0,19626,0,64523620,0,93.08,93.54,2007
AK,education - elementary and secondary instructional,9659,0,42625968,0,2910,0,3107504,0,176240,0,10705,0,12569,0,45733472,0,93.08,93.54,2007
AK,education - elementary and secondary other,5043,0,17410414,0,2014,0,1379734,0,103624,0,5643,0,7057,0,18790148,0,93.34,93.58,2007
AK,education - higher education total,94,0,506033,0,71,0,97233,0,4040,0,118,0,165,0,603266,0,4.26,9.75,2007
AK,education - higher education instructional,18,0,120563,0,15,0,22175,0,1056,0,24,0,33,0,142738,0,0,0,2007
AK,education - higher education other,76,0,385470,0,56,0,75058,0,2984,0,94,0,132,0,460528,0,4.26,9.75,2007
AK,libraries,204,0,827080,0,199,0,247314,0,16282,0,296,0,403,0,1074394,0,64.77,62.82,2007
AK,other and unallocable,760,0,3518677,0,319,0,287582,0,18765,0,870,0,1079,0,3806259,0,70.85,72.72,2007
AZ,total,209569,0,853824885,0,57734,0,57456485,0,3986104,0,232340,0,267303,0,911281370,0,72.38,75.13,2007
AZ,financial administration,4799,0,23321182,0,172,0,294330,0,16116,0,4890,0,4971,0,23615512,0,78.68,79.57,2007
AZ,other government administration,4478,0,20868572,0,416,0,541245,0,32309,0,4659,0,4894,0,21409817,0,77.69,80.33,2007
AZ,judicial and legal,9193,0,39537786,0,513,0,854360,0,42987,0,9434,0,9706,0,40392146,0,85.19,87.37,2007
AZ,police protection total,18628,0,106361641,0,349,0,511548,0,31590,0,18807,0,18977,0,106873189,0,64,84.37,2007
AZ,police protection - officers,14325,0,86904566,0,79,0,92005,0,4428,0,14349,0,14404,0,86996571,0,61.88,86.39,2007
AZ,police protection - other,4303,0,19457075,0,270,0,419543,0,27162,0,4458,0,4573,0,19876618,0,72.61,75.57,2007
AZ,fire protection total,7889,0,46244177,0,1238,0,635545,0,52452,0,8187,0,9127,0,46879722,0,85.63,88.89,2007
AZ,fire protection - firefighters,6589,0,38946555,0,1029,0,502902,0,41848,0,6830,0,7618,0,39449457,0,87.15,89.24,2007
AZ,fire protection - other,1300,0,7297622,0,209,0,132643,0,10604,0,1357,0,1509,0,7430265,0,85.62,86.99,2007
AZ,corrections,5935,0,23530032,0,241,0,323199,0,19547,0,6046,0,6176,0,23853231,0,83.7,86.92,2007
AZ,highways,4904,0,21030961,0,92,0,130153,0,8824,0,4957,0,4996,0,21161114,0,78.67,81.14,2007
AZ,air transportation,1290,0,6912025,0,52,0,55598,0,4531,0,1316,0,1342,0,6967623,0,96.79,97.65,2007
AZ,water transport and terminals,16,0,36910,0,0,0,0,0,0,0,16,0,16,0,36910,0,100,100,2007
AZ,public welfare,1822,0,7188156,0,822,0,1072626,0,85621,0,2307,0,2644,0,8260782,0,91.26,93.63,2007
AZ,health,2667,0,9863566,0,352,0,524847,0,37641,0,2880,0,3019,0,10388413,0,88.14,90.08,2007
AZ,hospitals,4767,0,19985320,0,1809,0,3966756,0,126120,0,5480,0,6576,0,23952076,0,53.89,49.89,2007
AZ,solid waste management,1832,0,7651124,0,53,0,75624,0,5963,0,1865,0,1885,0,7726748,0,85.09,86.49,2007
AZ,sewerage,1292,0,5184119,0,50,0,56633,0,3187,0,1311,0,1342,0,5240752,0,85.8,84.02,2007
AZ,parks and recreation,3965,0,17374930,0,4070,0,4052417,0,364922,0,6029,0,8035,0,21427347,0,67.91,81.74,2007
AZ,housing and community development,1500,0,7358311,0,196,0,217664,0,14879,0,1584,0,1696,0,7575975,0,86.59,88.07,2007
AZ,natural resources,1004,0,4273591,0,127,0,81074,0,4382,0,1029,0,1131,0,4354665,0,98.1,98.94,2007
AZ,water transport and terminals,3965,0,21245794,0,97,0,142741,0,8756,0,4015,0,4062,0,21388535,0,89.79,91.24,2007
AZ,electric power,4495,0,25914722,0,275,0,735639,0,37738,0,4709,0,4770,0,26650361,0,98.65,98.73,2007
AZ,gas supply,111,0,534663,0,1,0,1902,0,140,0,112,0,112,0,536565,0,8.05,5.1,2007
AZ,transit,396,0,1970759,0,83,0,139100,0,9578,0,451,0,479,0,2109859,0,91.43,95.04,2007
AZ,education total,117689,0,406746442,0,44830,0,41055630,0,2917686,0,134413,0,162519,0,447802072,0,71.42,74,2007
AZ,education - elementary and secondary total,109797,0,366702264,0,32292,0,28986423,0,2165618,0,122196,0,142089,0,395688687,0,70.69,71.47,2007
AZ,education - elementary and secondary instructional,74370,0,277541141,0,17311,0,17646714,0,1123355,0,80799,0,91681,0,295187855,0,70.69,71.47,2007
AZ,education - elementary and secondary other,35427,0,89161123,0,14981,0,11339709,0,1042263,0,41397,0,50408,0,100500832,0,66.75,61.5,2007
AZ,education - higher education total,7892,0,40044178,0,12538,0,12069207,0,752068,0,12217,0,20430,0,52113385,0,79.23,100,2007
AZ,education - higher education instructional,2549,0,15788343,0,6804,0,7570930,0,352732,0,4580,0,9353,0,23359273,0,69.02,93.67,2007
AZ,education - higher education other,5343,0,24255835,0,5734,0,4498277,0,399336,0,7637,0,11077,0,28754112,0,79.23,100,2007
AZ,libraries,1398,0,5927004,0,1189,0,1468508,0,110562,0,2025,0,2587,0,7395512,0,70.09,81.18,2007
AZ,other and unallocable,5534,0,24763098,0,707,0,519346,0,50573,0,5818,0,6241,0,25282444,0,80.03,83.1,2007
AR,total,100336,0,278845899,0,19486,0,10934572,0,1025853,0,106280,0,119822,0,289780471,0,86.85,89.51,2007
AR,financial administration,2084,0,5313670,0,334,0,194386,0,18302,0,2183,0,2418,0,5508056,0,89.61,93.53,2007
AR,other government administration,1813,0,4288959,0,2345,0,746770,0,51385,0,2081,0,4158,0,5035729,0,81.92,85.8,2007
AR,judicial and legal,1450,0,3637242,0,471,0,308877,0,24176,0,1581,0,1921,0,3946119,0,89.44,92.19,2007
AR,police protection total,6649,0,19290554,0,580,0,340281,0,36495,0,6847,0,7229,0,19630835,0,90.87,91.86,2007
AR,police protection - officers,5354,0,16317172,0,400,0,241911,0,25128,0,5487,0,5754,0,16559083,0,90.71,91.81,2007
AR,police protection - other,1295,0,2973382,0,180,0,98370,0,11367,0,1360,0,1475,0,3071752,0,91.31,92.09,2007
AR,fire protection total,2510,0,8742326,0,1620,0,305657,0,29031,0,2665,0,4130,0,9047983,0,87.87,92.29,2007
AR,fire protection - firefighters,2440,0,8523811,0,1580,0,295941,0,28152,0,2591,0,4020,0,8819752,0,87.8,92.17,2007
AR,fire protection - other,70,0,218515,0,40,0,9716,0,879,0,74,0,110,0,228231,0,90.55,96.64,2007
AR,corrections,2122,0,4409336,0,105,0,70852,0,8029,0,2169,0,2227,0,4480188,0,93.68,93.34,2007
AR,highways,3559,0,8145613,0,190,0,154775,0,15207,0,3644,0,3749,0,8300388,0,90.8,90.96,2007
AR,air transportation,280,0,805016,0,41,0,25712,0,2544,0,295,0,321,0,830728,0,99.2,99.53,2007
AR,water transport and terminals,11,0,53915,0,1,0,1052,0,70,0,11,0,12,0,54967,0,100,100,2007
AR,public welfare,59,0,124181,0,49,0,33087,0,3959,0,78,0,108,0,157268,0,83.75,92.06,2007
AR,health,333,0,755556,0,107,0,57137,0,5983,0,365,0,440,0,812693,0,73.5,68.94,2007
AR,hospitals,1580,0,4564972,0,312,0,356100,0,19389,0,1690,0,1892,0,4921072,0,98.72,100,2007
AR,solid waste management,1495,0,3142629,0,144,0,114419,0,12734,0,1565,0,1639,0,3257048,0,91.44,93.34,2007
AR,sewerage,1164,0,3598885,0,91,0,63438,0,5250,0,1191,0,1255,0,3662323,0,91.26,93.56,2007
AR,parks and recreation,874,0,2260071,0,553,0,379728,0,42862,0,1119,0,1427,0,2639799,0,90.47,92.28,2007
AR,housing and community development,1033,0,2571590,0,217,0,183413,0,18801,0,1138,0,1250,0,2755003,0,95.44,97.59,2007
AR,natural resources,180,0,380223,0,125,0,80529,0,8627,0,235,0,305,0,460752,0,94.73,96.72,2007
AR,water transport and terminals,2285,0,6376030,0,188,0,141294,0,12497,0,2350,0,2473,0,6517324,0,88.67,91.02,2007
AR,electric power,443,0,1802539,0,10,0,9559,0,967,0,448,0,453,0,1812098,0,87.33,84.23,2007
AR,gas supply,6,0,14847,0,0,0,0,0,0,0,6,0,6,0,14847,0,100,100,2007
AR,transit,292,0,771805,0,48,0,47686,0,4956,0,319,0,340,0,819491,0,96.73,100,2007
AR,education total,67947,0,192301993,0,11014,0,6760516,0,643539,0,71792,0,78961,0,199062509,0,86.38,89.42,2007
AR,education - elementary and secondary total,67844,0,191983869,0,10925,0,6676005,0,636450,0,71649,0,78769,0,198659874,0,86.36,89.41,2007
AR,education - elementary and secondary instructional,46045,0,152578007,0,6065,0,3477296,0,327952,0,48002,0,52110,0,156055303,0,86.36,89.41,2007
AR,education - elementary and secondary other,21799,0,39405862,0,4860,0,3198709,0,308498,0,23647,0,26659,0,42604571,0,86.93,85.76,2007
AR,education - higher education total,103,0,318124,0,89,0,84511,0,7089,0,143,0,192,0,402635,0,100,100,2007
AR,education - higher education instructional,38,0,145002,0,53,0,60190,0,4209,0,62,0,91,0,205192,0,61.51,100,2007
AR,education - higher education other,65,0,173122,0,36,0,24321,0,2880,0,81,0,101,0,197443,0,100,100,2007
AR,libraries,635,0,1435933,0,522,0,323158,0,37522,0,849,0,1157,0,1759091,0,81.97,86.89,2007
AR,other and unallocable,1532,0,4058014,0,419,0,236146,0,23528,0,1659,0,1951,0,4294160,0,87.43,87.6,2007
CA,total,1236769,0,6668107278,0,512603,0,720033500,0,36477230,0,1448284,0,1749372,0,7388140778,0,67.63,72.23,2007
CA,financial administration,24505,0,133526948,0,1542,0,3016155,0,151508,0,25375,0,26047,0,136543103,0,85.97,87,2007
CA,other government administration,25156,0,145706591,0,4713,0,7009763,0,324497,0,27009,0,29869,0,152716354,0,84.05,86.49,2007
CA,judicial and legal,46050,0,287548596,0,2247,0,4916529,0,197772,0,47165,0,48297,0,292465125,0,90.85,92.52,2007
CA,police protection total,89208,0,620362978,0,7029,0,10126717,0,542831,0,92282,0,96237,0,630489695,0,91.05,90.69,2007
CA,police protection - officers,62212,0,482313498,0,1333,0,2134368,0,81070,0,62670,0,63545,0,484447866,0,91.76,91.75,2007
CA,police protection - other,26996,0,138049480,0,5696,0,7992349,0,461761,0,29612,0,32692,0,146041829,0,89.6,87.15,2007
CA,fire protection total,33900,0,296638281,0,4308,0,3285986,0,206664,0,35050,0,38208,0,299924267,0,88.9,89.79,2007
CA,fire protection - firefighters,30545,0,277347288,0,3605,0,2367649,0,160700,0,31439,0,34150,0,279714937,0,89.27,90.06,2007
CA,fire protection - other,3355,0,19290993,0,703,0,918337,0,45964,0,3611,0,4058,0,20209330,0,86.37,86.14,2007
CA,corrections,32325,0,168969269,0,1916,0,3424101,0,164280,0,33254,0,34241,0,172393370,0,85.6,87.68,2007
CA,highways,21311,0,113524105,0,1479,0,2818607,0,152970,0,22174,0,22790,0,116342712,0,83.59,84.25,2007
CA,air transportation,6806,0,39550705,0,470,0,771353,0,41192,0,7038,0,7276,0,40322058,0,98.57,99.11,2007
CA,water transport and terminals,2006,0,12722575,0,197,0,259856,0,12710,0,2079,0,2203,0,12982431,0,95.02,95.64,2007
CA,public welfare,66373,0,278766198,0,3451,0,6217441,0,307950,0,68110,0,69824,0,284983639,0,84.3,83.57,2007
CA,health,41216,0,208932355,0,6548,0,15279453,0,546922,0,44311,0,47764,0,224211808,0,84.21,87.09,2007
CA,hospitals,56889,0,299565464,0,18283,0,57281016,0,1916399,0,67762,0,75172,0,356846480,0,86.45,88.38,2007
CA,solid waste management,8285,0,39764987,0,636,0,1157510,0,74041,0,8708,0,8921,0,40922497,0,89.43,90.46,2007
CA,sewerage,13758,0,79324383,0,700,0,1086088,0,46359,0,14016,0,14458,0,80410471,0,90.66,92.83,2007
CA,parks and recreation,24398,0,97870327,0,30729,0,28136143,0,2226429,0,37019,0,55127,0,126006470,0,85.69,88.76,2007
CA,housing and community development,12892,0,63641591,0,1027,0,1652199,0,83547,0,13377,0,13919,0,65293790,0,90.62,90.61,2007
CA,natural resources,8218,0,39018422,0,1088,0,1361231,0,79463,0,8664,0,9306,0,40379653,0,92.69,94.11,2007
CA,water transport and terminals,23544,0,139947119,0,1474,0,2209504,0,104481,0,24122,0,25018,0,142156623,0,94.42,96.22,2007
CA,electric power,11143,0,82790276,0,309,0,809673,0,29003,0,11307,0,11452,0,83599949,0,98.2,98.35,2007
CA,gas supply,265,0,1453447,0,4,0,4315,0,115,0,266,0,269,0,1457762,0,100,100,2007
CA,transit,32800,0,151012302,0,2097,0,3699734,0,206827,0,33969,0,34897,0,154712036,0,92.01,92.28,2007
CA,education total,608691,0,3125613240,0,404676,0,543782316,0,27733305,0,770672,0,1013367,0,3669395556,0,55.72,57.4,2007
CA,education - elementary and secondary total,560246,0,2843361596,0,316506,0,434087274,0,23893152,0,700423,0,876752,0,3277448870,0,53.42,55.36,2007
CA,education - elementary and secondary instructional,379234,0,2221785109,0,165318,0,267643728,0,12874201,0,454707,0,544552,0,2489428837,0,53.42,55.36,2007
CA,education - elementary and secondary other,181012,0,621576487,0,151188,0,166443546,0,11018951,0,245716,0,332200,0,788020033,0,47.94,53.3,2007
CA,education - higher education total,48445,0,282251644,0,88170,0,109695042,0,3840153,0,70249,0,136615,0,391946686,0,81.82,89.89,2007
CA,education - higher education instructional,19889,0,154016689,0,47987,0,81334030,0,1794592,0,30086,0,67876,0,235350719,0,70.73,89.06,2007
CA,education - higher education other,28556,0,128234955,0,40183,0,28361012,0,2045561,0,40163,0,68739,0,156595967,0,81.82,89.89,2007
CA,libraries,8568,0,38428584,0,10787,0,12156565,0,800543,0,13116,0,19355,0,50585149,0,84.5,88.24,2007
CA,other and unallocable,38462,0,203428535,0,6893,0,9571245,0,527422,0,41439,0,45355,0,212999780,0,89.91,90.66,2007
CO,total,174038,0,671492215,0,57437,0,56574153,0,3612918,0,194640,0,231475,0,728066368,0,79.33,82.46,2007
CO,financial administration,4128,0,18653930,0,258,0,403905,0,22399,0,4255,0,4386,0,19057835,0,80.26,83.35,2007
CO,other government administration,4394,0,18284597,0,1183,0,826594,0,45758,0,4645,0,5577,0,19111191,0,77.39,80.63,2007
CO,judicial and legal,2371,0,11610736,0,305,0,461920,0,17082,0,2461,0,2676,0,12072656,0,76.91,78.83,2007
CO,police protection total,12588,0,62056381,0,527,0,644097,0,36482,0,12792,0,13115,0,62700478,0,88.51,89.21,2007
CO,police protection - officers,9405,0,50053959,0,170,0,183090,0,9203,0,9453,0,9575,0,50237049,0,86.28,88.95,2007
CO,police protection - other,3183,0,12002422,0,357,0,461007,0,27279,0,3339,0,3540,0,12463429,0,88.98,90.28,2007
CO,fire protection total,5634,0,30705013,0,861,0,406249,0,29677,0,5793,0,6495,0,31111262,0,96,96.27,2007
CO,fire protection - firefighters,5091,0,28167665,0,665,0,281424,0,21184,0,5204,0,5756,0,28449089,0,95.37,96.06,2007
CO,fire protection - other,543,0,2537348,0,196,0,124825,0,8493,0,589,0,739,0,2662173,0,96.04,98.46,2007
CO,corrections,3739,0,15743325,0,102,0,139470,0,9246,0,3795,0,3841,0,15882795,0,75.62,76.66,2007
CO,highways,5887,0,23130608,0,209,0,242086,0,14940,0,5968,0,6096,0,23372694,0,82.53,85.84,2007
