state,government_function,full_time_employees,full_time_employees_coefficient_of_variation_as_percent,full_time_pay,full_time_pay_coefficient_of_variation_as_percent,part_time_employees,part_time_employees_coefficient_of_variation_as_percent,part_time_pay,part_time_pay_coefficient_of_variation_as_percent,part_time_hours,part_time_hours_coefficient_of_variation_as_percent,full_time_equivalent_employees,full_time_equivalent_employees_coefficient_of_variation_as_percent,total_employees,total_employees_coefficient_of_variation_as_percent,total_march_pay,total_march_pay_coefficient_of_variation_as_percent,full_time_equivalent_employees_response_rate_as_percent,total_march_pay_response_rate_as_percent,year
US,total,10906292,0,43024969791,0,3279330,0,3342775108,0,213377131,0,12146947,0,14185622,0,46367744899,0,77.48,78.33,2007
US,financial administration,212732,0,852972167,0,41621,0,35116176,0,2251843,0,224716,0,254353,0,888088343,0,79.41,80.02,2007
US,other government administration,199253,0,817110915,0,162857,0,77333770,0,4451998,0,223332,0,362110,0,894444685,0,76.03,79.37,2007
US,judicial and legal,238491,0,1033927876,0,32222,0,40281822,0,2129755,0,250407,0,270713,0,1074209698,0,80.61,81.92,2007
US,police protection total,787616,0,3788653784,0,100939,0,102886703,0,6776993,0,826594,0,888555,0,3891540487,0,79.71,79.97,2007
US,police protection - officers,610361,0,3137843652,0,37085,0,44644379,0,2498992,0,624873,0,647446,0,3182488031,0,80.37,80.35,2007
US,police protection - other,177255,0,650810132,0,63854,0,58242324,0,4278001,0,201721,0,241109,0,709052456,0,78.26,78.5,2007
US,fire protection total,319361,0,1709193259,0,98017,0,39450778,0,3098657,0,336693,0,417378,0,1748644037,0,80.5,79.57,2007
US,fire protection - firefighters,294292,0,1596060588,0,88824,0,33059648,0,2703790,0,309463,0,383116,0,1629120236,0,80.6,79.83,2007
US,fire protection - other,25069,0,113132671,0,9193,0,6391130,0,394867,0,27230,0,34262,0,119523801,0,78.37,77.92,2007
US,corrections,252952,0,983160247,0,14746,0,18478336,0,1258575,0,260195,0,267698,0,1001638583,0,80.84,82.02,2007
US,highways,291678,0,1072484305,0,24385,0,22944175,0,1718773,0,301143,0,316063,0,1095428480,0,79.58,79.48,2007
US,air transportation,42449,0,190863537,0,3650,0,4402562,0,306861,0,44167,0,46099,0,195266099,0,80.83,80.74,2007
US,water transport and terminals,7346,0,36914794,0,1030,0,1039267,0,70656,0,7743,0,8376,0,37954061,0,88.03,89.33,2007
US,public welfare,262575,0,936267275,0,40365,0,51591007,0,3620048,0,283493,0,302940,0,987858282,0,78.44,79.77,2007
US,health,226158,0,864709919,0,56717,0,82076987,0,4403589,0,251485,0,282875,0,946786906,0,80.77,81.7,2007
US,hospitals,494855,0,2026209632,0,139136,0,291832502,0,13532444,0,572258,0,633991,0,2318042134,0,84.71,81.27,2007
US,social insurance administration,462,0,2232192,0,0,0,0,0,0,0,462,0,462,0,2232192,0,100,100,2007
US,solid waste management,102458,0,360284385,0,14088,0,12459623,0,1162643,0,108961,0,116546,0,372744008,0,82.22,80.57,2007
US,sewerage,124066,0,508663104,0,9235,0,7666306,0,478841,0,126584,0,133301,0,516329410,0,82.59,81.29,2007
US,parks and recreation,165532,0,569786215,0,201716,0,144118650,0,12543703,0,236991,0,367248,0,713904865,0,78.53,81.28,2007
US,housing and community development,108220,0,411219846,0,12376,0,13329639,0,924185,0,113466,0,120596,0,424549485,0,90.82,89.4,2007
US,natural resources,35979,0,133802616,0,8728,0,6940805,0,512020,0,38822,0,44707,0,140743421,0,89.22,90.82,2007
US,water transport and terminals,161716,0,659391043,0,15269,0,12529965,0,840049,0,166150,0,176985,0,671921008,0,85.44,86.19,2007
US,electric power,72816,0,397899086,0,2808,0,4685161,0,246915,0,74212,0,75624,0,402584247,0,87.61,85.88,2007
US,gas supply,12218,0,46209932,0,354,0,460497,0,22820,0,12343,0,12572,0,46670429,0,91,66.28,2007
US,transit,194071,0,885402197,0,16534,0,26607195,0,1775858,0,204280,0,210605,0,912009392,0,88.88,86.96,2007
US,education total,6260224,0,23466954997,0,2116303,0,2205769951,0,140412849,0,7087745,0,8376527,0,25672724948,0,77.11,77.5,2007
US,education - elementary and secondary total,6030445,0,22408683707,0,1781293,0,1856163664,0,123900982,0,6762253,0,7811738,0,24264847371,0,76.91,77.16,2007
US,education - elementary and secondary instructional,4301040,0,17954909236,0,963490,0,1071892887,0,64324273,0,4679884,0,5264530,0,19026802123,0,76.91,77.16,2007
US,education - elementary and secondary other,1729405,0,4453774471,0,817803,0,784270777,0,59576709,0,2082369,0,2547208,0,5238045248,0,73.49,74.51,2007
US,education - higher education total,229779,0,1058271290,0,335010,0,349606287,0,16511867,0,325492,0,564789,0,1407877577,0,82.54,88.09,2007
US,education - higher education instructional,86417,0,511419081,0,190597,0,245950458,0,7951567,0,132528,0,277014,0,757369539,0,71.31,82.88,2007
US,education - higher education other,143362,0,546852209,0,144413,0,103655829,0,8560300,0,192964,0,287775,0,650508038,0,82.54,88.09,2007
US,libraries,91254,0,305726684,0,96588,0,84769563,0,6876344,0,130637,0,187842,0,390496247,0,82.15,84.33,2007
US,other and unallocable,241810,0,964929784,0,69646,0,56003668,0,3960712,0,264068,0,311456,0,1020933452,0,82.03,83.58,2007
AL,total,185311,0,558999831,0,28695,0,25152010,0,1875828,0,196063,0,214006,0,584151841,0,86.15,86.4,2007
AL,financial administration,3851,0,12183937,0,192,0,165123,0,14506,0,3925,0,4043,0,12349060,0,85.11,86.11,2007
AL,other government administration,2147,0,6820625,0,2325,0,1104174,0,58568,0,2463,0,4472,0,7924799,0,78.81,85.1,2007
AL,judicial and legal,1443,0,4650362,0,450,0,385515,0,23029,0,1565,0,1893,0,5035877,0,82.92,86.65,2007
AL,police protection total,11550,0,39650697,0,1136,0,843048,0,81431,0,11996,0,12686,0,40493745,0,82.69,84.39,2007
AL,police protection - officers,9396,0,33959635,0,447,0,364800,0,31866,0,9567,0,9843,0,34324435,0,83.12,84.84,2007
AL,police protection - other,2154,0,5691062,0,689,0,478248,0,49565,0,2429,0,2843,0,6169310,0,80.23,81.88,2007
AL,fire protection total,5433,0,20210815,0,679,0,309092,0,29680,0,5602,0,6112,0,20519907,0,79.75,81.35,2007
AL,fire protection - firefighters,5209,0,19441046,0,639,0,292081,0,28285,0,5371,0,5848,0,19733127,0,79.92,81.59,2007
AL,fire protection - other,224,0,769769,0,40,0,17011,0,1395,0,231,0,264,0,786780,0,75.81,75.26,2007
AL,corrections,3073,0,8836256,0,209,0,223793,0,22127,0,3200,0,3282,0,9060049,0,85.66,90.51,2007
AL,highways,6942,0,18893934,0,241,0,232622,0,23502,0,7077,0,7183,0,19126556,0,87.45,86.89,2007
