FEDERAL GOVERNMENT CIVILIAN EMPLOYMENT BY STATE:
DECEMBER 31, 1996, 1998

                                           1998             1996
STATE                                      TOTAL            TOTAL
                                         EMPLOYMENT       EMPLOYMENT

TOTAL                                    2,706,420        2,688,271
ALABAMA                                     51,936           51,929
ALASKA                                      14,354           14,438
ARIZONA                                     43,229           40,233
ARKANSAS                                    20,579           19,906
CALIFORNIA                                 265,472          269,470

COLORADO                                    53,730           51,723
CONNECTICUT                                 22,986           22,272
DELAWARE                                     5,481            5,455
DIST. OF COLUMBIA                          181,077          185,447
FLORIDA                                    115,605          111,740

GEORGIA                                     87,752           87,463
HAWAII                                      23,784           24,116
IDAHO                                       10,730           10,903
ILLINOIS                                    98,341           97,151
INDIANA                                     38,319           39,579
IOWA                                        19,921           19,792

KANSAS                                      25,479           25,445
KENTUCKY                                    31,090           33,960
LOUISIANA                                   34,805           33,992
MAINE                                       13,369           12,946
MARYLAND                                   130,889          125,624

MASSACHUSETTS                               55,552           54,180
MICHIGAN                                    59,054           55,470
MINNESOTA                                   34,806           33,481
MISSISSIPPI                                 24,652           24,341
MISSOURI                                    56,837           57,706

MONTANA                                     11,296           11,226
NEBRASKA                                    15,487           15,276
NEVADA                                      12,909           11,956
NEW HAMPSHIRE                                8,326            8,210
NEW JERSEY                                  64,519           67,599

NEW MEXICO                                  25,895           26,102
NEW YORK                                   139,425          138,897
NORTH CAROLINA                              56,758           54,998
NORTH DAKOTA                                 7,664            7,632
OHIO                                        86,502           85,749

OKLAHOMA                                    42,529           42,383
OREGON                                      29,541           28,166
PENNSYLVANIA                               112,680          112,235
RHODE ISLAND                                11,178           10,851
SOUTH CAROLINA                              27,052           26,499

SOUTH DAKOTA                                 9,593            9,635
TENNESSEE                                   52,402           51,504
TEXAS                                      174,561          171,697
UTAH                                        28,028           28,540
VERMONT                                      5,757            5,610

VIRGINIA                                   146,551          150,569
WASHINGTON                                  62,892           61,525
WEST VIRGINIA                               18,299           17,693
WISCONSIN                                   30,557           28,834
WYOMING                                      6,190            6,123
