state,government_function,full_time_employees,full_time_pay,part_time_employees,part_time_pay,part_time_hours,full_time_equivalent_employees,total_march_pay,year
US,total,3635273,13976250802,1405870,1501270606,96075761,4187648,15477521408,2004
US,financial administration,160327,583412613,12528,19584790,1303161,167793,602997403,2004
US,other government administration,46569,179941836,11922,22133252,1143236,53194,202075088,2004
US,judicial and legal,158225,683679199,9839,20159820,912978,163474,703839019,2004
US,police protection - officers,61810,294254219,767,971964,30883,61986,295226183,2004
US,police protection - other,40164,143451119,1946,2108678,140063,40965,145559797,2004
US,corrections,453402,1531233264,11289,22596141,1218707,460368,1553829405,2004
US,highways,233885,833773718,10137,17682239,999842,239638,851455957,2004
US,air transportation,3216,14227542,186,294826,14612,3299,14522368,2004
US,water transport and terminals,4705,20007965,69,117335,7102,4746,20125300,2004
US,public welfare,219466,702194675,9623,17659921,1061832,225569,719854596,2004
US,health,166563,599720665,13446,26060756,1351878,174301,625781421,2004
US,hospitals,366521,1236085722,57105,116837222,5736561,399170,1352922944,2004
US,social insurance administration,83362,297920543,9393,16973177,1076224,89557,314893720,2004
US,solid waste management,1731,8112129,121,316181,13043,1806,8428310,2004
US,sewerage,1732,8943590,32,108254,4169,1756,9051844,2004
US,parks and recreation,27366,83660783,13842,16217335,1416720,35474,99878118,2004
US,housing and community development,0,0,0,0,0,0,0,2004
US,natural resources,130925,470479596,30587,38827939,2768707,146799,509307535,2004
US,water transport and terminals,648,3137324,25,68283,2851,664,3205607,2004
US,electric power,3998,22473200,44,126324,4973,4026,22599524,2004
US,gas supply,0,0,0,0,0,0,0,2004
US,transit,31720,156668384,2024,3285020,217833,32958,159953404,2004
US,education - elementary and secondary instructional,33773,144196847,10802,9849362,541873,37012,154046209,2004
US,education - elementary and secondary other,11091,32140752,7633,5104310,404682,13559,37245062,2004
US,education - higher education instructional,358634,2145169705,377641,531495427,24354892,498835,2676665132,2004
US,education - higher education other,753179,2654095074,784184,567050370,48792015,1033792,3221145444,2004
US,education - other,84546,307351148,10912,15327395,874637,89557,322678543,2004
US,libraries,482,1441018,240,142716,16004,573,1583734,2004
US,liquor stores,5643,16241380,3398,2770186,272036,7215,19011566,2004
US,other and unallocable,191590,802236792,16135,27401383,1394247,199562,829638175,2004
AL,total,73906,256614142,27255,28365167,2040781,85647,284979309,2004
AL,financial administration,2546,8749278,67,60424,6925,2586,8809702,2004
AL,other government administration,550,2096456,91,107336,6252,585,2203792,2004
AL,judicial and legal,2964,11945513,105,148316,2950,2980,12093829,2004
AL,police protection - officers,636,2862399,0,0,0,636,2862399,2004
AL,police protection - other,595,1726284,0,0,0,595,1726284,2004
AL,corrections,4713,14963808,5,4317,421,4715,14968125,2004
AL,highways,4254,11630266,91,73903,8059,4300,11704169,2004
AL,air transportation,0,0,0,0,0,0,0,2004
AL,water transport and terminals,471,1844501,1,1200,40,471,1845701,2004
AL,public welfare,4324,12857356,36,56647,3496,4344,12914003,2004
AL,health,5009,15380311,436,458687,55173,5323,15838998,2004
AL,hospitals,10615,32533397,1615,2912256,140344,11412,35445653,2004
AL,social insurance administration,1208,3638764,34,23141,3011,1225,3661905,2004
AL,solid waste management,0,0,0,0,0,0,0,2004
AL,sewerage,0,0,0,0,0,0,0,2004
AL,parks and recreation,556,1327457,248,184041,26841,709,1511498,2004
AL,housing and community development,0,0,0,0,0,0,0,2004
AL,natural resources,2070,6662074,218,211194,20145,2184,6873268,2004
AL,water transport and terminals,0,0,0,0,0,0,0,2004
AL,electric power,0,0,0,0,0,0,0,2004
AL,gas supply,0,0,0,0,0,0,0,2004
AL,transit,0,0,0,0,0,0,0,2004
AL,education - elementary and secondary instructional,0,0,0,0,0,0,0,2004
AL,education - elementary and secondary other,0,0,0,0,0,0,0,2004
AL,education - higher education instructional,9009,52459265,8467,11766603,525918,12056,64225868,2004
AL,education - higher education other,19104,59265960,15290,11826502,1182190,25908,71092462,2004
AL,education - other,2659,8695083,82,58954,5850,2692,8754037,2004
AL,libraries,0,0,0,0,0,0,0,2004
AL,liquor stores,642,1436200,6,10149,817,647,1446349,2004
AL,other and unallocable,1981,6539770,463,461497,52349,2279,7001267,2004
AK,total,22579,93684753,5542,5654556,358366,24657,99339309,2004
AK,financial administration,934,3957801,22,34529,1790,946,3992330,2004
AK,other government administration,606,2349427,43,59242,3512,628,2408669,2004
AK,judicial and legal,1182,5272871,74,123642,5414,1215,5396513,2004
AK,police protection - officers,273,1638695,2,699,55,273,1639394,2004
AK,police protection - other,193,652828,54,21175,1628,203,674003,2004
AK,corrections,1758,7125480,29,36395,2710,1775,7161875,2004
AK,highways,2947,13056098,23,36033,2450,2962,13092131,2004
AK,air transportation,0,0,0,0,0,0,0,2004
AK,water transport and terminals,0,0,0,0,0,0,0,2004
AK,public welfare,1674,5958182,126,155876,15011,1764,6114058,2004
AK,health,658,2886988,24,45165,2079,671,2932153,2004
