state,year,government_function,full_time_employees,full_time_pay,part_time_employees,part_time_pay,part_time_hours,full_time_equivalent_employees,total_march_full_time_and_part_time_employees,total_march_pay
US,2016,total,3763727,19850430279,1604731,2298248030,103832879,4360635,5368458,22148678309
US,2016,financial administration,164386,822440225,9669,20578018,987922,170061,174055,843018243
US,2016,other government administration,46110,232977579,10329,21939213,898039,51297,56439,254916792
US,2016,judicial and legal,170762,970319872,8461,20938322,779395,175205,179223,991258194
US,2016,police protection total,100361,618556470,2921,4740736,184221,101421,103282,623297206
US,2016,police protection - officers,64692,459580902,567,745731,24275,64831,65259,460326633
US,2016,police protection - other,35669,158975568,2354,3995005,159946,36590,38023,162970573
US,2016,fire protection total,0,0,0,0,0,0,0,0
US,2016,fire protection - firefighters,0,0,0,0,0,0,0,0
US,2016,fire protection - other,0,0,0,0,0,0,0,0
US,2016,corrections,436198,1998565693,8566,24121748,870143,441148,444764,2022687441
US,2016,highways,205793,1006104314,11043,27878059,1055641,211906,216836,1033982373
US,2016,air transportation,3190,18415285,58,118886,4527,3216,3248,18534171
US,2016,water transport and terminals,4439,27055483,81,142653,7376,4481,4520,27198136
US,2016,public welfare,235139,953406726,10376,23912010,1115313,241522,245515,977318736
US,2016,health,175993,846199407,15684,37938529,1330910,183571,191677,884137936
US,2016,hospitals,348102,1743397301,76851,311942974,8006910,393745,424953,2055340275
US,2016,social insurance administration,69020,314810234,3642,9322215,398972,71301,72662,324132449
US,2016,solid waste management,2376,13998420,156,340514,16149,2470,2532,14338934
US,2016,sewerage,1631,11135264,47,242764,3800,1654,1678,11378028
US,2016,parks and recreation,29307,112165575,11054,15060355,1046826,35316,40361,127225930
US,2016,housing and community development,613,3589903,47,130815,5559,645,660,3720718
US,2016,natural resources,121258,575581210,25858,40768202,2228962,133938,147116,616349412
US,2016,water transport and terminals,780,4358006,29,61994,1570,789,809,442e4
US,2016,electric power,4139,30407686,69,202523,6382,4174,4208,30610209
US,2016,gas supply,0,0,0,0,0,0,0,0
US,2016,transit,32389,218879756,1450,2838825,136987,33162,33839,221718581
US,2016,education total,1438329,8440718010,1388095,1701252778,83178490,1917151,2826424,10141970788
US,2016,education - elementary and secondary total,42234,218464455,17247,21178804,1111004,49163,59481,239643259
US,2016,education - elementary and secondary instructional,31654,178100088,12273,14890223,761121,36298,43927,192990311
US,2016,education - elementary and secondary other,10580,40364367,4974,6288581,349883,12865,15554,46652948
US,2016,education - higher education total,1317579,7847833533,1357953,1657681667,81030758,1783551,2675532,9505515200
US,2016,education - higher education instructional,427472,3464367401,433733,818430902,28533678,591948,861205,4282798303
US,2016,education - higher education other,890107,4383466132,924220,839250765,52497080,1191603,1814327,5222716897
US,2016,education - other,78516,374420022,12895,22392307,1036728,84437,91411,396812329
US,2016,libraries,570,2135008,241,183644,15130,655,811,2318652
US,2016,liquor stores,6145,21793779,6596,9230485,548549,9359,12741,31024264
US,2016,other and unallocable,166697,863419073,13408,24361768,1005106,172448,180105,887780841
AL,2016,total,78048,358986821,32820,37758699,2098059,90141,110868,396745520
AL,2016,financial administration,2310,10346102,95,167322,8808,2360,2405,10513424
AL,2016,other government administration,513,2681762,213,644485,21854,636,726,3326247
AL,2016,judicial and legal,2855,13637396,312,654750,34253,3048,3167,14292146
AL,2016,police protection total,1284,5119170,19,29270,1300,1291,1303,5148440
AL,2016,police protection - officers,819,3708938,0,0,0,819,819,3708938
AL,2016,police protection - other,465,1410232,19,29270,1300,472,484,1439502
AL,2016,fire protection total,0,0,0,0,0,0,0,0
AL,2016,fire protection - firefighters,0,0,0,0,0,0,0,0
AL,2016,fire protection - other,0,0,0,0,0,0,0,0
AL,2016,corrections,4441,17082780,223,497328,21714,4564,4664,17580108
AL,2016,highways,4248,15521498,71,57812,5960,4282,4319,15579310
AL,2016,air transportation,0,0,0,0,0,0,0,0
AL,2016,water transport and terminals,394,1878188,5,5143,380,396,399,1883331
AL,2016,public welfare,4174,14028003,93,165757,8190,4220,4267,14193760
AL,2016,health,4198,17475705,317,354616,18459,4302,4515,17830321
AL,2016,hospitals,11488,51719857,1963,5440861,210428,12716,13451,57160718
AL,2016,social insurance administration,878,3402420,38,31618,3908,900,916,3434038
AL,2016,solid waste management,0,0,0,0,0,0,0,0
AL,2016,sewerage,0,0,0,0,0,0,0,0
AL,2016,parks and recreation,329,865416,282,290826,32346,512,611,1156242
AL,2016,housing and community development,0,0,0,0,0,0,0,0
AL,2016,natural resources,1755,7087422,145,191197,11739,1822,1900,7278619
AL,2016,water transport and terminals,0,0,0,0,0,0,0,0
AL,2016,electric power,0,0,0,0,0,0,0,0
AL,2016,gas supply,0,0,0,0,0,0,0,0
AL,2016,transit,0,0,0,0,0,0,0,0
AL,2016,education total,36350,187203151,28339,28342806,1645936,45852,64689,215545957
AL,2016,education - elementary and secondary total,0,0,0,0,0,0,0,0
AL,2016,education - elementary and secondary instructional,0,0,0,0,0,0,0,0
AL,2016,education - elementary and secondary other,0,0,0,0,0,0,0,0
AL,2016,education - higher education total,33455,175699307,28167,28106085,1632680,42883,61622,203805392
AL,2016,education - higher education instructional,10038,75983636,9082,12079482,504285,12939,19120,88063118
AL,2016,education - higher education other,23417,99715671,19085,16026603,1128395,29944,42502,115742274
AL,2016,education - other,2895,11503844,172,236721,13256,2969,3067,11740565
AL,2016,libraries,0,0,0,0,0,0,0,0
AL,2016,liquor stores,809,2204460,13,26552,1342,817,822,2231012
AL,2016,other and unallocable,2022,8733491,692,858356,71442,2423,2714,9591847
AK,2016,total,23274,136940867,4885,6287209,307036,25073,28159,143228076
AK,2016,financial administration,1073,6897560,31,41942,856,1078,1104,6939502
AK,2016,other government administration,586,3589402,15,39404,1024,592,601,3628806
AK,2016,judicial and legal,1366,9164552,40,77366,2564,1382,1406,9241918
AK,2016,police protection total,640,4255476,43,34316,1610,650,683,4289792
AK,2016,police protection - officers,293,2514540,0,0,0,293,293,2514540
AK,2016,police protection - other,347,1740936,43,34316,1610,357,390,1775252
AK,2016,fire protection total,0,0,0,0,0,0,0,0
AK,2016,fire protection - firefighters,0,0,0,0,0,0,0,0
AK,2016,fire protection - other,0,0,0,0,0,0,0,0
AK,2016,corrections,2222,13456072,49,102398,5334,2255,2271,13558470
AK,2016,highways,3147,18430980,50,92562,4440,3174,3197,18523542
AK,2016,air transportation,0,0,0,0,0,0,0,0
AK,2016,water transport and terminals,0,0,0,0,0,0,0,0
AK,2016,public welfare,1759,8801514,77,139406,10716,1824,1836,8940920
AK,2016,health,654,4003716,10,30660,904,659,664,4034376
AK,2016,hospitals,234,1502302,34,115632,5976,270,268,1617934
AK,2016,social insurance administration,268,1426222,0,0,0,268,268,1426222
AK,2016,solid waste management,0,0,0,0,0,0,0,0
AK,2016,sewerage,0,0,0,0,0,0,0,0
