state,year,government_function,full_time_employees,full_time_pay,part_time_employees,part_time_pay,part_time_hours,full_time_equivalent_employees,total_march_full_time_and_part_time_employees,total_march_pay
AK,2016,parks and recreation,91,489592,0,0,0,91,91,489592
AK,2016,housing and community development,0,0,0,0,0,0,0,0
AK,2016,natural resources,2159,12934435,64,144365,4445,2185,2223,13078800
AK,2016,water transport and terminals,0,0,0,0,0,0,0,0
AK,2016,electric power,0,0,0,0,0,0,0,0
AK,2016,gas supply,0,0,0,0,0,0,0,0
AK,2016,transit,0,0,0,0,0,0,0,0
AK,2016,education total,6519,36131596,4417,5385414,265519,8066,10936,41517010
AK,2016,education - elementary and secondary total,2680,11739140,1235,1384191,77035,3161,3915,13123331
AK,2016,education - elementary and secondary instructional,1983,9255139,570,742966,40134,2235,2553,9998105
AK,2016,education - elementary and secondary other,697,2484001,665,641225,36901,926,1362,3125226
AK,2016,education - higher education total,3593,22866278,3148,3964989,187284,4652,6741,26831267
AK,2016,education - higher education instructional,1033,9098139,892,1211181,56203,1351,1925,10309320
AK,2016,education - higher education other,2560,13768139,2256,2753808,131081,3301,4816,16521947
AK,2016,education - other,246,1526178,34,36234,1200,253,280,1562412
AK,2016,libraries,0,0,0,0,0,0,0,0
AK,2016,liquor stores,0,0,0,0,0,0,0,0
AK,2016,other and unallocable,2556,15857448,55,83744,3648,2579,2611,15941192
AZ,2016,total,60479,296762633,31237,34353915,2095318,72316,91716,331116548
AZ,2016,financial administration,2245,9335825,48,88443,3140,2262,2293,9424268
AZ,2016,other government administration,649,2777940,117,197869,9735,704,766,2975809
AZ,2016,judicial and legal,2346,11419455,70,234983,6587,2383,2416,11654438
AZ,2016,police protection total,1919,9908158,44,64438,2236,1932,1963,9972596
AZ,2016,police protection - officers,1167,6524526,0,0,0,1167,1167,6524526
AZ,2016,police protection - other,752,3383632,44,64438,2236,765,796,3448070
AZ,2016,fire protection total,0,0,0,0,0,0,0,0
AZ,2016,fire protection - firefighters,0,0,0,0,0,0,0,0
AZ,2016,fire protection - other,0,0,0,0,0,0,0,0
AZ,2016,corrections,9687,34871803,13,43237,1228,9694,9700,34915040
AZ,2016,highways,2551,11538886,16,31195,877,2556,2567,11570081
AZ,2016,air transportation,0,0,0,0,0,0,0,0
AZ,2016,water transport and terminals,0,0,0,0,0,0,0,0
AZ,2016,public welfare,6131,21019252,98,208075,11122,6193,6229,21227327
AZ,2016,health,2128,9508279,32,99223,3096,2147,2160,9607502
AZ,2016,hospitals,639,2749337,11,42499,892,644,650,2791836
AZ,2016,social insurance administration,1902,5876843,41,63008,4065,1925,1943,5939851
AZ,2016,solid waste management,0,0,0,0,0,0,0,0
AZ,2016,sewerage,0,0,0,0,0,0,0,0
AZ,2016,parks and recreation,334,928300,0,0,0,334,334,928300
AZ,2016,housing and community development,0,0,0,0,0,0,0,0
AZ,2016,natural resources,1385,6039618,211,322928,20041,1498,1596,6362546
AZ,2016,water transport and terminals,0,0,0,0,0,0,0,0
AZ,2016,electric power,5,39312,0,0,0,5,5,39312
AZ,2016,gas supply,0,0,0,0,0,0,0,0
AZ,2016,transit,0,0,0,0,0,0,0,0
AZ,2016,education total,25512,156036159,30369,32749901,2024781,36952,55881,188786060
AZ,2016,education - elementary and secondary total,0,0,0,0,0,0,0,0
AZ,2016,education - elementary and secondary instructional,0,0,0,0,0,0,0,0
AZ,2016,education - elementary and secondary other,0,0,0,0,0,0,0,0
AZ,2016,education - higher education total,22887,146099746,29999,32068911,1988259,34120,52886,178168657
AZ,2016,education - higher education instructional,7784,62947672,10785,14603133,719700,11850,18569,77550805
AZ,2016,education - higher education other,15103,83152074,19214,17465778,1268559,22270,34317,100617852
AZ,2016,education - other,2625,9936413,370,680990,36522,2832,2995,10617403
AZ,2016,libraries,0,0,0,0,0,0,0,0
AZ,2016,liquor stores,0,0,0,0,0,0,0,0
AZ,2016,other and unallocable,3046,14713466,167,208116,7518,3087,3213,14921582
AR,2016,total,56651,235293556,16428,15279572,1029948,62476,73079,250573128
AR,2016,financial administration,2289,9079460,13,16530,1302,2296,2302,9095990
AR,2016,other government administration,704,3302453,139,228763,12302,774,843,3531216
AR,2016,judicial and legal,1528,6033704,139,430157,12470,1599,1667,6463861
AR,2016,police protection total,1207,4679349,16,17823,1182,1214,1223,4697172
AR,2016,police protection - officers,542,2502761,0,0,0,542,542,2502761
AR,2016,police protection - other,665,2176588,16,17823,1182,672,681,2194411
AR,2016,fire protection total,0,0,0,0,0,0,0,0
AR,2016,fire protection - firefighters,0,0,0,0,0,0,0,0
AR,2016,fire protection - other,0,0,0,0,0,0,0,0
AR,2016,corrections,5557,18014665,6,9459,463,5559,5563,18024124
AR,2016,highways,3733,13965465,23,49201,4473,3758,3756,14014666
AR,2016,air transportation,5,24409,0,0,0,5,5,24409
AR,2016,water transport and terminals,0,0,0,0,0,0,0,0
AR,2016,public welfare,4157,13056102,88,117227,5791,4190,4245,13173329
AR,2016,health,3360,13019224,148,288887,9211,3413,3508,13308111
AR,2016,hospitals,6314,24281512,492,977928,63039,6671,6806,25259440
AR,2016,social insurance administration,1138,4245628,9,66537,1151,1145,1147,4312165
AR,2016,solid waste management,0,0,0,0,0,0,0,0
AR,2016,sewerage,0,0,0,0,0,0,0,0
AR,2016,parks and recreation,746,2113099,0,0,0,746,746,2113099
AR,2016,housing and community development,0,0,0,0,0,0,0,0
AR,2016,natural resources,1762,6635149,339,300539,23478,1894,2101,6935688
AR,2016,water transport and terminals,0,0,0,0,0,0,0,0
AR,2016,electric power,0,0,0,0,0,0,0,0
AR,2016,gas supply,0,0,0,0,0,0,0,0
AR,2016,transit,0,0,0,0,0,0,0,0
AR,2016,education total,22335,109735410,14988,12739480,893233,27384,37323,122474890
AR,2016,education - elementary and secondary total,0,0,0,0,0,0,0,0
AR,2016,education - elementary and secondary instructional,0,0,0,0,0,0,0,0
AR,2016,education - elementary and secondary other,0,0,0,0,0,0,0,0
AR,2016,education - higher education total,21040,104772651,14976,12715325,892135,26082,36016,117487976
AR,2016,education - higher education instructional,6410,48483855,5523,6739928,380248,8556,11933,55223783
AR,2016,education - higher education other,14630,56288796,9453,5975397,511887,17526,24083,62264193
AR,2016,education - other,1295,4962759,12,24155,1098,1302,1307,4986914
AR,2016,libraries,45,158704,0,0,0,45,45,158704
AR,2016,liquor stores,0,0,0,0,0,0,0,0
AR,2016,other and unallocable,1771,6949223,28,37041,1853,1783,1799,6986264
CA,2016,total,345411,2432641422,175986,393539495,12259294,414679,521397,2826180917
CA,2016,financial administration,25384,135063386,3027,6200054,344245,27328,28411,141263440
CA,2016,other government administration,3751,22327842,344,1004881,33416,3952,4095,23332723
CA,2016,judicial and legal,6127,43263674,442,1110524,35790,6329,6569,44374198
CA,2016,police protection total,11176,93852828,268,211620,6994,11216,11444,94064448
CA,2016,police protection - officers,7660,78062686,219,120025,2601,7675,7879,78182711
CA,2016,police protection - other,3516,15790142,49,91595,4393,3541,3565,15881737
CA,2016,fire protection total,0,0,0,0,0,0,0,0
CA,2016,fire protection - firefighters,0,0,0,0,0,0,0,0
CA,2016,fire protection - other,0,0,0,0,0,0,0,0
CA,2016,corrections,56038,405163625,1771,7213489,211708,57234,57809,412377114
CA,2016,highways,18116,145914441,925,4447733,139534,18904,19041,150362174
CA,2016,air transportation,0,0,0,0,0,0,0,0
CA,2016,water transport and terminals,0,0,0,0,0,0,0,0
CA,2016,public welfare,3790,19564596,300,623506,26822,3941,4090,20188102
CA,2016,health,14629,95076650,1821,5816641,199843,15758,16450,100893291
CA,2016,hospitals,31803,275233886,19526,139998035,2607679,46536,51329,415231921
CA,2016,social insurance administration,13044,68046009,1187,3354698,142575,13850,14231,71400707
CA,2016,solid waste management,661,4139588,79,194418,8802,711,740,4334006
CA,2016,sewerage,0,0,0,0,0,0,0,0
CA,2016,parks and recreation,2054,11261434,2155,3546606,234853,3381,4209,14808040
CA,2016,housing and community development,0,0,0,0,0,0,0,0
CA,2016,natural resources,14454,90412320,2824,5609083,369133,16538,17278,96021403
CA,2016,water transport and terminals,0,0,0,0,0,0,0,0
CA,2016,electric power,0,0,0,0,0,0,0,0
CA,2016,gas supply,0,0,0,0,0,0,0,0
CA,2016,transit,0,0,0,0,0,0,0,0
CA,2016,education total,124891,899398601,139461,209346490,7755686,168709,264352,1108745091
CA,2016,education - elementary and secondary total,0,0,0,0,0,0,0,0
CA,2016,education - elementary and secondary instructional,0,0,0,0,0,0,0,0
CA,2016,education - elementary and secondary other,0,0,0,0,0,0,0,0
CA,2016,education - higher education total,120797,877460524,138917,208388731,7711525,164365,259714,1085849255
CA,2016,education - higher education instructional,27212,257780779,35028,70910972,2307707,40250,62240,328691751
CA,2016,education - higher education other,93585,619679745,103889,137477759,5403818,124115,197474,757157504
CA,2016,education - other,4094,21938077,544,957759,44161,4344,4638,22895836
CA,2016,libraries,0,0,0,0,0,0,0,0
CA,2016,liquor stores,0,0,0,0,0,0,0,0
CA,2016,other and unallocable,19493,123922542,1856,4861717,142214,20292,21349,128784259
CO,2016,total,60312,344772892,48392,92118209,4544115,87844,108704,436891101
CO,2016,financial administration,1920,10125413,66,134302,7256,1961,1986,10259715
CO,2016,other government administration,451,2201892,161,426999,24135,587,612,2628891
CO,2016,judicial and legal,4702,27347959,489,1240076,69783,5096,5191,28588035
CO,2016,police protection total,1257,7518707,17,40380,1390,1265,1274,7559087
CO,2016,police protection - officers,754,4798490,0,0,0,754,754,4798490
CO,2016,police protection - other,503,2720217,17,40380,1390,511,520,2760597
CO,2016,fire protection total,0,0,0,0,0,0,0,0
CO,2016,fire protection - firefighters,0,0,0,0,0,0,0,0
CO,2016,fire protection - other,0,0,0,0,0,0,0,0
CO,2016,corrections,7358,31499268,55,207915,8830,7409,7413,31707183
CO,2016,highways,2969,14467365,163,308921,17443,3068,3132,14776286
CO,2016,air transportation,0,0,0,0,0,0,0,0
CO,2016,water transport and terminals,0,0,0,0,0,0,0,0
CO,2016,public welfare,2244,10352125,272,538209,30390,2416,2516,10890334
CO,2016,health,1298,7652638,135,340851,19251,1407,1433,7993489
CO,2016,hospitals,5125,22860230,1085,6302053,263122,6750,6210,29162283
CO,2016,social insurance administration,951,4627859,149,413859,23369,1083,1100,5041718
CO,2016,solid waste management,0,0,0,0,0,0,0,0
CO,2016,sewerage,0,0,0,0,0,0,0,0
CO,2016,parks and recreation,896,4547424,236,249846,14107,976,1132,4797270
CO,2016,housing and community development,0,0,0,0,0,0,0,0
CO,2016,natural resources,994,5500141,266,532610,27943,1152,1260,6032751
CO,2016,water transport and terminals,0,0,0,0,0,0,0,0
CO,2016,electric power,0,0,0,0,0,0,0,0
CO,2016,gas supply,0,0,0,0,0,0,0,0
CO,2016,transit,0,0,0,0,0,0,0,0
CO,2016,education total,27702,182153449,45220,81143072,4024678,52159,72922,263296521
CO,2016,education - elementary and secondary total,0,0,0,0,0,0,0,0
CO,2016,education - elementary and secondary instructional,0,0,0,0,0,0,0,0
CO,2016,education - elementary and secondary other,0,0,0,0,0,0,0,0
CO,2016,education - higher education total,26529,175864367,44069,79775092,3933826,50472,70598,255639459
CO,2016,education - higher education instructional,9720,89324244,15897,44405005,1756409,20539,25617,133729249
CO,2016,education - higher education other,16809,86540123,28172,35370087,2177417,29933,44981,121910210
CO,2016,education - other,1173,6289082,1151,1367980,90852,1687,2324,7657062
CO,2016,libraries,0,0,0,0,0,0,0,0
CO,2016,liquor stores,0,0,0,0,0,0,0,0
CO,2016,other and unallocable,2445,13918422,78,239116,12418,2515,2523,14157538
CT,2016,total,52844,335832459,24295,45520073,1687584,62863,77139,381352532
CT,2016,financial administration,1730,10714817,69,194606,6247,1765,1799,10909423
CT,2016,other government administration,1454,9361908,220,831821,26374,1602,1674,10193729
CT,2016,judicial and legal,5904,28493837,317,860974,14757,5988,6221,29354811
CT,2016,police protection total,1905,14061411,237,167485,5989,1938,2142,14228896
CT,2016,police protection - officers,1250,10156079,3,3683,179,1251,1253,10159762
CT,2016,police protection - other,655,3905332,234,163802,5810,687,889,4069134
CT,2016,fire protection total,0,0,0,0,0,0,0,0
CT,2016,fire protection - firefighters,0,0,0,0,0,0,0,0
CT,2016,fire protection - other,0,0,0,0,0,0,0,0
CT,2016,corrections,5765,33996905,69,249707,5986,5799,5834,34246612
CT,2016,highways,3386,18552816,6,28972,892,3391,3392,18581788
CT,2016,air transportation,146,1025276,0,0,0,146,146,1025276
CT,2016,water transport and terminals,0,0,0,0,0,0,0,0
CT,2016,public welfare,5181,33074308,431,1893719,61843,5530,5612,34968027
CT,2016,health,3635,22295168,453,1815956,42018,3872,4088,24111124
CT,2016,hospitals,4999,33633557,1762,8460364,271794,6534,6761,42093921
CT,2016,social insurance administration,564,3903958,1,2166,89,565,565,3906124
CT,2016,solid waste management,40,291652,3,8470,443,43,43,300122
CT,2016,sewerage,0,0,0,0,0,0,0,0
CT,2016,parks and recreation,160,916287,15,28026,1198,167,175,944313
CT,2016,housing and community development,48,307815,0,0,0,48,48,307815
CT,2016,natural resources,640,3937155,76,181514,6338,676,716,4118669
CT,2016,water transport and terminals,0,0,0,0,0,0,0,0
CT,2016,electric power,0,0,0,0,0,0,0,0
CT,2016,gas supply,0,0,0,0,0,0,0,0
CT,2016,transit,0,0,0,0,0,0,0,0
CT,2016,education total,15038,106860370,20297,30216829,1218617,22410,35335,137077199
CT,2016,education - elementary and secondary total,0,0,0,0,0,0,0,0
CT,2016,education - elementary and secondary instructional,0,0,0,0,0,0,0,0
CT,2016,education - elementary and secondary other,0,0,0,0,0,0,0,0
CT,2016,education - higher education total,12456,91323874,19293,27497302,1124913,19298,31749,118821176
CT,2016,education - higher education instructional,4525,40115770,7646,16434058,464404,7361,12171,56549828
CT,2016,education - higher education other,7931,51208104,11647,11063244,660509,11937,19578,62271348
CT,2016,education - other,2582,15536496,1004,2719527,93704,3112,3586,18256023
CT,2016,libraries,0,0,0,0,0,0,0,0
CT,2016,liquor stores,0,0,0,0,0,0,0,0
CT,2016,other and unallocable,2249,14405219,339,579464,24999,2389,2588,14984683
DE,2016,total,22628,105117321,8031,12030884,539941,25881,30659,117148205
DE,2016,financial administration,818,2644264,21,22003,1284,826,839,2666267
DE,2016,other government administration,402,1745916,152,175238,4063,426,554,1921154
DE,2016,judicial and legal,1786,8447254,49,96126,5204,1818,1835,8543380
DE,2016,police protection total,1088,7251431,12,25708,1262,1095,1100,7277139
DE,2016,police protection - officers,862,6154151,5,7938,520,865,867,6162089
DE,2016,police protection - other,226,1097280,7,17770,742,230,233,1115050
DE,2016,fire protection total,0,0,0,0,0,0,0,0
DE,2016,fire protection - firefighters,0,0,0,0,0,0,0,0
DE,2016,fire protection - other,0,0,0,0,0,0,0,0
DE,2016,corrections,2904,12243902,40,59487,4322,2930,2944,12303389
DE,2016,highways,1518,4984481,0,0,0,1518,1518,4984481
DE,2016,air transportation,0,0,0,0,0,0,0,0
DE,2016,water transport and terminals,280,1183652,0,0,0,280,280,1183652
DE,2016,public welfare,1308,4780658,115,244920,13670,1391,1423,5025578
DE,2016,health,2040,7931167,177,329133,18425,2149,2217,8260300
DE,2016,hospitals,1271,4624550,101,194820,9278,1327,1372,4819370
DE,2016,social insurance administration,307,1009296,19,30799,1213,314,326,1040095
DE,2016,solid waste management,118,493048,20,33341,2502,133,138,526389
DE,2016,sewerage,0,0,0,0,0,0,0,0
DE,2016,parks and recreation,312,807450,29,22152,1606,322,341,829602
DE,2016,housing and community development,0,0,0,0,0,0,0,0
DE,2016,natural resources,430,1724105,46,70753,3831,454,476,1794858
DE,2016,water transport and terminals,0,0,0,0,0,0,0,0
DE,2016,electric power,0,0,0,0,0,0,0,0
DE,2016,gas supply,0,0,0,0,0,0,0,0
DE,2016,transit,889,4031143,26,49339,2580,904,915,4080482
DE,2016,education total,5456,33930263,6900,10406320,455519,8200,12356,44336583
DE,2016,education - elementary and secondary total,0,0,0,0,0,0,0,0
DE,2016,education - elementary and secondary instructional,0,0,0,0,0,0,0,0
DE,2016,education - elementary and secondary other,0,0,0,0,0,0,0,0
DE,2016,education - higher education total,5135,32020294,6873,10365529,453834,7869,12008,42385823
DE,2016,education - higher education instructional,1576,13390242,2741,5372722,159369,2536,4317,18762964
DE,2016,education - higher education other,3559,18630052,4132,4992807,294465,5333,7691,23622859
DE,2016,education - other,321,1909969,27,40791,1685,331,348,1950760
DE,2016,libraries,0,0,0,0,0,0,0,0
DE,2016,liquor stores,0,0,0,0,0,0,0,0
DE,2016,other and unallocable,1701,7284741,324,270745,15182,1794,2025,7555486
FL,2016,total,159594,698926894,49279,61642992,3338781,178571,208873,760569886
FL,2016,financial administration,6260,22620482,154,193441,14280,6343,6414,22813923
FL,2016,other government administration,1846,8654990,292,239620,16933,1942,2138,8894610
FL,2016,judicial and legal,19181,80377652,691,1222448,64329,19544,19872,81600100
FL,2016,police protection total,4098,16144497,312,471329,19093,4206,4410,16615826
FL,2016,police protection - officers,2246,9555918,160,225587,5620,2278,2406,9781505
FL,2016,police protection - other,1852,6588579,152,245742,13473,1928,2004,6834321
FL,2016,fire protection total,0,0,0,0,0,0,0,0
FL,2016,fire protection - firefighters,0,0,0,0,0,0,0,0
FL,2016,fire protection - other,0,0,0,0,0,0,0,0
FL,2016,corrections,23547,71305287,193,210609,14750,23631,23740,71515896
FL,2016,highways,6217,28607779,63,47972,3063,6235,6280,28655751
FL,2016,air transportation,0,0,0,0,0,0,0,0
FL,2016,water transport and terminals,0,0,0,0,0,0,0,0
FL,2016,public welfare,9102,27683799,267,293200,21263,9222,9369,27976999
FL,2016,health,15493,52424130,939,2153787,101823,16068,16432,54577917
FL,2016,hospitals,3969,13171722,63,129207,5600,4001,4032,13300929
FL,2016,social insurance administration,2677,9170347,64,105729,6053,2711,2741,9276076
FL,2016,solid waste management,0,0,0,0,0,0,0,0
FL,2016,sewerage,0,0,0,0,0,0,0,0
FL,2016,parks and recreation,1116,2873295,360,313071,26649,1267,1476,3186366
FL,2016,housing and community development,0,0,0,0,0,0,0,0
FL,2016,natural resources,7533,26546846,734,816139,58932,7867,8267,27362985
FL,2016,water transport and terminals,0,0,0,0,0,0,0,0
FL,2016,electric power,0,0,0,0,0,0,0,0
FL,2016,gas supply,0,0,0,0,0,0,0,0
FL,2016,transit,703,3376918,88,138117,11514,768,791,3515035
FL,2016,education total,51961,314899008,44664,54845996,2945105,68707,96625,369745004
FL,2016,education - elementary and secondary total,0,0,0,0,0,0,0,0
FL,2016,education - elementary and secondary instructional,0,0,0,0,0,0,0,0
FL,2016,education - elementary and secondary other,0,0,0,0,0,0,0,0
FL,2016,education - higher education total,49156,304901410,44385,54637491,2932488,65830,93541,359538901
FL,2016,education - higher education instructional,14118,150954903,16532,31655717,1201709,20932,30650,182610620
FL,2016,education - higher education other,35038,153946507,27853,22981774,1730779,44898,62891,176928281
FL,2016,education - other,2805,9997598,279,208505,12617,2877,3084,10206103
FL,2016,libraries,0,0,0,0,0,0,0,0
FL,2016,liquor stores,0,0,0,0,0,0,0,0
FL,2016,other and unallocable,5891,21070142,395,462327,29394,6059,6286,21532469
GA,2016,total,112660,479920279,50877,49625041,2741863,128151,163537,529545320
GA,2016,financial administration,2985,11777722,260,413677,28333,3145,3245,12191399
GA,2016,other government administration,1283,4655368,32,46172,4879,1311,1315,4701540
GA,2016,judicial and legal,3481,15871102,90,160785,7163,3521,3571,16031887
GA,2016,police protection total,2559,10130972,66,86738,5853,2593,2625,10217710
GA,2016,police protection - officers,1476,5620168,1,1571,93,1477,1477,5621739
GA,2016,police protection - other,1083,4510804,65,85167,5760,1116,1148,4595971
GA,2016,fire protection total,0,0,0,0,0,0,0,0
GA,2016,fire protection - firefighters,0,0,0,0,0,0,0,0
GA,2016,fire protection - other,0,0,0,0,0,0,0,0
GA,2016,corrections,15792,44320372,795,1630178,69213,16184,16587,45950550
GA,2016,highways,4046,14078540,166,134997,14392,4127,4212,14213537
GA,2016,air transportation,2,9524,0,0,0,2,2,9524
GA,2016,water transport and terminals,1107,8054631,0,0,0,1107,1107,8054631
GA,2016,public welfare,6760,20331038,9,12065,420,6762,6769,20343103
GA,2016,health,3600,14933144,58,131430,5049,3628,3658,15064574
GA,2016,hospitals,7444,28680688,252,487911,18647,7549,7696,29168599
GA,2016,social insurance administration,1691,4258373,87,132013,8435,1739,1778,4390386
GA,2016,solid waste management,0,0,0,0,0,0,0,0
GA,2016,sewerage,0,0,0,0,0,0,0,0
GA,2016,parks and recreation,2799,7323640,999,1148190,120841,3481,3798,8471830
GA,2016,housing and community development,0,0,0,0,0,0,0,0
GA,2016,natural resources,4364,16287417,1223,1377769,88476,4864,5587,17665186
GA,2016,water transport and terminals,0,0,0,0,0,0,0,0
GA,2016,electric power,0,0,0,0,0,0,0,0
GA,2016,gas supply,0,0,0,0,0,0,0,0
GA,2016,transit,0,0,0,0,0,0,0,0
GA,2016,education total,52695,270728697,46659,43643086,2356363,66007,99354,314371783
GA,2016,education - elementary and secondary total,0,0,0,0,0,0,0,0
GA,2016,education - elementary and secondary instructional,0,0,0,0,0,0,0,0
